epoch,D_loss,G_loss,G_adv,G_wavelet,G_laplacian,D_real,D_fake
1,0.7392447590827942,1.4901477098464966,1.3991377353668213,0.06966543197631836,0.021344592794775963,0.7071638107299805,0.29270604252815247
2,1.2268004417419434,1.1568232774734497,1.068589687347412,0.06809224933385849,0.020141316577792168,0.5536549091339111,0.43402713537216187
3,1.2154836654663086,1.4865665435791016,1.3953531980514526,0.07134968787431717,0.019863644614815712,0.6044415235519409,0.4756162762641907
4,1.0857055187225342,1.5850721597671509,1.4947001934051514,0.0695672407746315,0.02080472931265831,0.6814740896224976,0.46623775362968445
5,0.9438467621803284,1.3465503454208374,1.2584275007247925,0.06946366280317307,0.018659239634871483,0.6302750706672668,0.35658687353134155
6,1.1754192113876343,1.4250704050064087,1.3328063488006592,0.07255850732326508,0.019705500453710556,0.6075182557106018,0.46039777994155884
7,0.945236325263977,1.5185526609420776,1.430354356765747,0.06873560696840286,0.0194627046585083,0.7108687162399292,0.3872692883014679
8,1.0240286588668823,1.4372901916503906,1.349860668182373,0.06814883649349213,0.019280681386590004,0.6491382122039795,0.40574538707733154
9,1.1101969480514526,1.4048010110855103,1.3210968971252441,0.06495531648397446,0.018748702481389046,0.6274999380111694,0.43426650762557983
10,1.1885921955108643,1.2081198692321777,1.1233716011047363,0.06650623679161072,0.018241988494992256,0.6100414395332336,0.46757739782333374
11,1.3372987508773804,0.9285237193107605,0.8419317007064819,0.06800445914268494,0.01858755759894848,0.5109922885894775,0.45553258061408997
12,0.7813025712966919,1.648167371749878,1.555476188659668,0.07429086416959763,0.01840030588209629,0.7632260322570801,0.3551483750343323
13,1.2160186767578125,1.2637921571731567,1.180081844329834,0.06557633727788925,0.018133968114852905,0.4986708164215088,0.3218728303909302
14,0.8672659993171692,1.18190598487854,1.0984468460083008,0.06561712175607681,0.01784202829003334,0.7074442505836487,0.36176303029060364
15,0.7394265532493591,1.597527265548706,1.5092809200286865,0.06946108490228653,0.018785228952765465,0.7669308185577393,0.33493757247924805
16,1.058201789855957,1.2216675281524658,1.1414257287979126,0.06262736767530441,0.017614534124732018,0.703078031539917,0.4529902935028076
17,1.1767489910125732,1.188275694847107,1.1077907085418701,0.06305775791406631,0.017427245154976845,0.47607243061065674,0.24198918044567108
18,0.8680679798126221,1.7901217937469482,1.7064568996429443,0.06502702087163925,0.018637901172041893,0.6656121611595154,0.30643269419670105
19,0.8951810598373413,1.3321447372436523,1.2498891353607178,0.06492289155721664,0.01733263209462166,0.7141126990318298,0.35529598593711853
20,0.8775219321250916,1.5927760601043701,1.5104749202728271,0.06415186822414398,0.018149230629205704,0.7185170650482178,0.3541446626186371
21,1.0047821998596191,1.8747276067733765,1.7933417558670044,0.06323778629302979,0.018148023635149002,0.6664355993270874,0.3366565406322479
22,0.8332222700119019,1.9930659532546997,1.9093631505966187,0.06582130491733551,0.017881518229842186,0.7202177047729492,0.2881075143814087
23,0.9638885259628296,2.4620773792266846,2.3805899620056152,0.0637538805603981,0.017733527347445488,0.8655565977096558,0.520011305809021
24,0.8481947183609009,1.8497838973999023,1.7670738697052002,0.06508158892393112,0.017628414556384087,0.6302809715270996,0.20915667712688446
25,0.8947278261184692,1.6129179000854492,1.5304806232452393,0.06446065753698349,0.01797662489116192,0.7172458171844482,0.3473958373069763
26,0.8108446598052979,1.6466244459152222,1.5644176006317139,0.06409221142530441,0.01811467856168747,0.6166790723800659,0.16716927289962769
27,0.9401261210441589,2.0450265407562256,1.956974983215332,0.07029228657484055,0.017759429290890694,0.7697310447692871,0.41684260964393616
28,0.9332538843154907,1.6478632688522339,1.5657236576080322,0.0650625005364418,0.017077064141631126,0.6384804248809814,0.2712245285511017
29,0.787865161895752,1.7518179416656494,1.6673377752304077,0.06693018972873688,0.017549945041537285,0.8132818341255188,0.38543784618377686
30,0.6995840668678284,2.0071513652801514,1.9271419048309326,0.06304755061864853,0.016961967572569847,0.7484163045883179,0.26335954666137695
31,0.7614592909812927,1.8398027420043945,1.756666898727417,0.06541480123996735,0.017721060663461685,0.6734740138053894,0.20519189536571503
32,0.6298957467079163,2.0888030529022217,2.0041112899780273,0.06730770319700241,0.017384111881256104,0.7390573024749756,0.20557531714439392
33,0.9413138031959534,2.076756477355957,1.996126651763916,0.0629781112074852,0.01765190064907074,0.7825067043304443,0.4080665707588196
34,0.9755750894546509,2.4003913402557373,2.317362070083618,0.06556112319231033,0.01746823824942112,0.9107478857040405,0.5085855722427368
35,0.8546359539031982,1.5067236423492432,1.423149824142456,0.06597970426082611,0.017594102770090103,0.7318630218505859,0.3556581139564514
36,1.0002225637435913,1.5480382442474365,1.467384696006775,0.06364040821790695,0.017013153061270714,0.5799598693847656,0.24431701004505157
37,0.8449229598045349,1.5861951112747192,1.505195140838623,0.06391695886850357,0.01708306185901165,0.7298222780227661,0.3417648673057556
38,0.7664845585823059,1.1420425176620483,1.0580756664276123,0.06568170338869095,0.01828521303832531,0.6694104671478271,0.2170644998550415
39,1.1753933429718018,2.920454978942871,2.8395135402679443,0.06320160627365112,0.017739824950695038,0.8818098306655884,0.5971894860267639
40,1.0814611911773682,1.9311999082565308,1.8509674072265625,0.06261245906352997,0.017620069906115532,0.661151111125946,0.3716871440410614
41,1.0589814186096191,1.5899442434310913,1.50990891456604,0.06268152594566345,0.01735382340848446,0.5173029899597168,0.19393101334571838
42,0.6520791053771973,1.933725357055664,1.853556513786316,0.06268644332885742,0.017482390627264977,0.867416262626648,0.3499149680137634
43,0.8859750032424927,1.6265608072280884,1.544193983078003,0.06464949995279312,0.01771736703813076,0.6913653612136841,0.33782047033309937
44,0.7921090126037598,2.035254716873169,1.950649619102478,0.06642522662878036,0.01817978359758854,0.7803760766983032,0.36478888988494873
45,0.9463123679161072,1.5080537796020508,1.4297935962677002,0.060860421508550644,0.01739976741373539,0.6428751945495605,0.27278995513916016
46,1.0797450542449951,1.4948893785476685,1.4107253551483154,0.06549325585365295,0.018670836463570595,0.5047168135643005,0.12668195366859436
47,0.8495502471923828,2.0074310302734375,1.9239706993103027,0.06594298779964447,0.017517413944005966,0.8169529438018799,0.42863476276397705
