version,count,p50_ms,p95_ms,p99_ms,mean_ms,success_rate
A,842,70.1126110000132,80.78217599995696,98.56563200014534,70.35428623991164,1.0
B,658,71.55255199995736,95.2765399999862,186.73921399999927,76.59683195288795,1.0
