version,fid_sample,blur_rate,laplacian_mean,sample_count,blur_threshold_real_p10
A,35.57101770007136,0.125,7777.7217404052735,5000,4986.694873046875
B,32.04224304130531,0.1162,7966.443622753906,5000,4986.694873046875
