bytes,id,latency_ms,status
9348,0,27.64862499998344,200
9051,1,45.17633599994042,200
10172,2,37.722550000012234,200
9034,3,46.66182700009358,200
9292,4,50.61504600007538,200
10208,5,58.84190500000841,200
10043,6,52.253541000027326,200
9565,7,62.012051000010615,200
9610,8,71.06640200004222,200
9191,9,65.79369399992174,200
10505,10,71.74214799999845,200
7787,11,92.8487190000169,200
9307,12,75.75818300006176,200
9729,13,78.61831800005348,200
9194,14,84.3007820000139,200
9343,15,92.30626300006861,200
9494,16,92.11152600005335,200
10337,17,87.04102399997282,200
9812,18,86.27424700000574,200
10413,19,87.82081399999697,200
9015,20,87.65491899998779,200
9614,21,89.49360199994771,200
9310,22,87.92490000007547,200
9287,23,87.97837999998137,200
9945,24,87.80591099991852,200
9272,25,88.6552169999959,200
9157,26,89.2259519999925,200
10015,27,87.12814499995147,200
9263,28,86.63317799994275,200
9834,29,84.86384899993027,200
9347,30,83.94035200001326,200
8304,31,84.19890599998325,200
9884,32,82.68980700006523,200
9430,33,81.38213099994118,200
9676,34,79.99981800003297,200
9320,35,78.30245799993918,200
9585,36,77.70570599996063,200
8856,37,75.5455250000523,200
10212,38,75.47619400008898,200
9844,39,73.73874199993224,200
