operator,calls,total_ms,mean_ms,p95_ms
ConvTranspose,600,612.482,1.0208033333333333,1.6210499999999999
BatchNormalization,480,17.993,0.03748541666666667,0.056
Relu,480,8.65,0.018020833333333333,0.027049999999999956
Tanh,120,2.455,0.020458333333333332,0.032
