operator,calls,total_ms,mean_ms,p95_ms
ConvTranspose,600,616.663,1.0277716666666667,1.647
BatchNormalization,480,18.651,0.03885625,0.059
Relu,480,9.117,0.01899375,0.035
Tanh,120,2.45,0.020416666666666666,0.03224999999999999
