graph,provider,batch,warmup,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,throughput_images_per_s
raw,CPUExecutionProvider,1,20,100,4.214087260003225,4.179405499996847,4.603289900029495,3.931274000024132,5.258924999964165,237.299310218658
fused,CPUExecutionProvider,1,20,100,4.27530706000141,4.222349000002623,4.901382399967247,3.8178209999841783,5.232329999955709,233.90132824744293
