phase,step,train_loss,anchor,l1,mse,highfreq,laplacian,gradient,feature9,feature12,objective
pre_qat_calibrated,0,0.0,0.0,0.02790637407451868,0.001966849056771025,0.01850574091076851,0.0,0.02578270062804222,0.0,0.0,0.04022922685689991
qat,100,0.03741183131933212,0.0,0.027379400096833706,0.0018848483450710773,0.0181213584728539,0.0,0.025232916697859764,0.0,0.0,0.0394345830893144
qat,200,0.03676612675189972,0.0,0.027239942457526922,0.0018601924530230463,0.018060421105474234,0.0,0.02516542188823223,0.0,0.0,0.039251743312343025
qat,300,0.03659014776349068,0.0,0.027273087296634912,0.001869886473286897,0.018058618064969778,0.0,0.025133763905614614,0.0,0.0,0.03928324433800299
qat,400,0.03667473420500755,0.0,0.02724816696718335,0.0018609056423883885,0.018004494719207287,0.0,0.025083349086344242,0.0,0.0,0.03922397564601852
qat,500,0.03341193497180939,0.0,0.02728267479687929,0.0018669244600459933,0.01804830227047205,0.0,0.02514006057754159,0.0,0.0,0.039287563104880976
qat,600,0.035805922001600266,0.0,0.027243226300925016,0.0018634310981724411,0.018019755836576223,0.0,0.025095297023653984,0.0,0.0,0.03922849169612164
qat,700,0.03200456127524376,0.0,0.027308992575854063,0.0018700046930462122,0.018053127452731133,0.0,0.025119921192526817,0.0,0.0,0.039315049594733864
qat,800,0.03461144492030144,0.0,0.027358556166291237,0.0018775056232698262,0.018066653050482273,0.0,0.025175997521728277,0.0,0.0,0.039378858849522656
qat,900,0.033317454159259796,0.0,0.027207141742110252,0.0018640128255356103,0.01798022584989667,0.0,0.025051137898117304,0.0,0.0,0.03916837166325422
qat,1000,0.035938017070293427,0.0,0.027331697288900614,0.0018836176313925534,0.018068727105855942,0.0,0.025162088219076395,0.0,0.0,0.03935317407158436
qat,1100,0.03356550633907318,0.0,0.02734044613316655,0.0018801393161993474,0.01807801006361842,0.0,0.025163788348436356,0.0,0.0,0.03936586482886924
qat,1200,0.032577428966760635,0.0,0.027336285449564457,0.0018805322179105133,0.018018796108663082,0.0,0.02509852545335889,0.0,0.0,0.039325669103709514
qat,1300,0.03359369933605194,0.0,0.027344204019755125,0.0018743646214716136,0.01811870140954852,0.0,0.02524051209911704,0.0,0.0,0.039396197089808994
qat,1400,0.03344138711690903,0.0,0.027380046900361776,0.0018890569626819342,0.018085230607539415,0.0,0.02520514838397503,0.0,0.0,0.03941544128319947
qat,1500,0.03243076428771019,0.0,0.027322832494974136,0.0018822058336809278,0.01808716496452689,0.0,0.0251795444637537,0.0,0.0,0.039354920882033184
