epoch,D_loss,G_loss,G_adv,L_lap,D_real,D_fake
1,2.0108025074005127,0.027661722153425217,0.013828068971633911,0.2766730785369873,0.003015537979081273,0.0138180460780859
2,1.914186954498291,-0.21571090817451477,-0.2304508090019226,0.2947980463504791,0.3620278239250183,0.27621471881866455
3,1.9848392009735107,0.4418522119522095,0.42848464846611023,0.267350971698761,-0.3448828458786011,-0.36004364490509033
4,2.3307013511657715,-0.35499584674835205,-0.36908435821533203,0.28177011013031006,0.20344656705856323,0.5341479778289795
5,1.8849900960922241,1.0962088108062744,1.0820021629333496,0.2841332256793976,-0.24624596536159515,-0.3711055517196655
6,1.7635341882705688,0.46085673570632935,0.446150541305542,0.2941238284111023,0.18040890991687775,-0.0759318619966507
7,1.2565052509307861,0.6656369566917419,0.6509355306625366,0.29402902722358704,0.08511330932378769,-0.794689953327179
8,1.545013427734375,0.48014259338378906,0.46612226963043213,0.2804066240787506,0.21407942473888397,-0.2845122814178467
9,1.309306025505066,0.8115959763526917,0.7973356246948242,0.28520655632019043,0.31865715980529785,-0.4015488624572754
10,1.6559444665908813,0.5242538452148438,0.5096287727355957,0.2925012707710266,0.07485709339380264,-0.38725078105926514
11,1.6711475849151611,0.4548305571079254,0.4413418173789978,0.26977506279945374,0.2411079853773117,-0.11437240242958069
12,1.8766192197799683,0.509600818157196,0.4945825934410095,0.30036449432373047,0.14202620089054108,-0.002264498732984066
13,1.6213988065719604,0.6000394821166992,0.5859416723251343,0.2819567918777466,-0.0019849836826324463,-0.3843696713447571
14,1.245234727859497,0.8816947340965271,0.8671193718910217,0.2915070354938507,0.07682676613330841,-0.7434114813804626
15,1.9674805402755737,0.9114779829978943,0.8975064754486084,0.27942967414855957,-0.6384662389755249,-0.8438011407852173
16,1.8146268129348755,1.2952320575714111,1.2802391052246094,0.2998592257499695,-0.7252578735351562,-1.070451259613037
17,1.0823974609375,1.0485702753067017,1.0349234342575073,0.27293744683265686,1.0242340564727783,-0.21102087199687958
18,1.5503625869750977,0.668282151222229,0.654056966304779,0.2845040261745453,-0.21891240775585175,-0.6861217021942139
19,1.2648028135299683,0.5616264343261719,0.5469973087310791,0.2925819158554077,0.1626429259777069,-0.6185441017150879
20,1.2175040245056152,1.1039222478866577,1.089064359664917,0.29715681076049805,0.4559171795845032,-0.42796263098716736
21,1.5764877796173096,0.8005386590957642,0.7861595153808594,0.2875829041004181,0.09087902307510376,-0.36343735456466675
22,1.5126864910125732,1.0253762006759644,1.0106022357940674,0.2954789996147156,0.3207351267337799,-0.2799384891986847
23,1.773239016532898,0.6788468360900879,0.6645761728286743,0.2854127287864685,-0.228103905916214,-0.4760299623012543
24,1.4539685249328613,0.8314146399497986,0.8169389963150024,0.2895129323005676,0.0195038840174675,-0.5595232248306274
25,1.521723985671997,0.2255629003047943,0.21127858757972717,0.2856862545013428,0.4023241698741913,-0.1205274909734726
26,1.507258415222168,0.3709453046321869,0.35640639066696167,0.29077813029289246,0.5527973175048828,-0.05805257335305214
27,1.3407223224639893,1.046147108078003,1.0316622257232666,0.28969648480415344,0.4200400710105896,-0.32929855585098267
28,1.7542471885681152,0.531767725944519,0.517127275466919,0.29280927777290344,0.04321835935115814,-0.2358797788619995
29,1.646040439605713,0.8398187160491943,0.8249856233596802,0.296661376953125,-0.10667060315608978,-0.4897586405277252
30,1.6942652463912964,-0.014004627242684364,-0.028458308428525925,0.2890736162662506,-0.17594285309314728,-0.4871741533279419
31,1.7591798305511475,0.8761783242225647,0.8619825839996338,0.28391513228416443,-0.5014649033546448,-0.767176628112793
32,1.5703918933868408,0.639263927936554,0.6247976422309875,0.28932562470436096,-0.11703506112098694,-0.5820350646972656
33,1.4965646266937256,0.5231781005859375,0.5082708597183228,0.29814431071281433,-0.052335225045681,-0.5736074447631836
34,1.586264729499817,-0.027829032391309738,-0.04275307059288025,0.298480749130249,-0.030691824853420258,-0.465994656085968
35,1.4595675468444824,0.644530713558197,0.630102813243866,0.2885582149028778,0.13546894490718842,-0.4315572679042816
36,1.4835569858551025,0.4246065616607666,0.40984055399894714,0.2953198552131653,0.23971480131149292,-0.3454046845436096
37,1.6377841234207153,0.6891956329345703,0.6750866174697876,0.28218039870262146,-0.00693298876285553,-0.3775283992290497
38,1.5503290891647339,0.7264537215232849,0.711696982383728,0.2951350212097168,0.4598006010055542,-0.0496700182557106
39,1.4591410160064697,0.21243168413639069,0.1980355978012085,0.2879216969013214,0.08917954564094543,-0.46596336364746094
40,1.6016968488693237,0.05417419970035553,0.039405278861522675,0.2953784465789795,-0.341623455286026,-0.8204777240753174
41,1.4800031185150146,0.7152741551399231,0.7007079124450684,0.2913248836994171,0.9049298763275146,0.1326507329940796
42,1.7829463481903076,0.8417021036148071,0.8273942470550537,0.2861575782299042,0.7227189540863037,0.30695223808288574
43,1.5479881763458252,-0.09401189535856247,-0.10839613527059555,0.287684828042984,0.019938766956329346,-0.4885721802711487
44,1.640181541442871,0.5008141398429871,0.4865128993988037,0.28602445125579834,-0.3412308692932129,-0.7060661315917969
45,1.570763349533081,0.3057367205619812,0.2913280129432678,0.28817442059516907,-0.06547582149505615,-0.5072214007377625
46,1.4750165939331055,0.6105969548225403,0.5962636470794678,0.2866663932800293,0.4043218791484833,-0.20744377374649048
47,1.858996033668518,0.8060311675071716,0.7914025783538818,0.29257234930992126,0.42224472761154175,0.20816856622695923
48,1.6017169952392578,0.5849783420562744,0.5713987350463867,0.2715921998023987,0.29761213064193726,-0.13307735323905945
49,1.631561040878296,0.5961082577705383,0.5813304781913757,0.29555585980415344,0.2084149867296219,-0.23870624601840973
50,1.6567691564559937,0.14302773773670197,0.1296120136976242,0.2683143615722656,-0.5646913051605225,-1.0259623527526855
51,1.4583617448806763,-0.06821753829717636,-0.0825527012348175,0.28670328855514526,-0.047101330012083054,-0.6097480654716492
52,1.7332888841629028,0.3855840563774109,0.3717195391654968,0.2772901654243469,-0.5179727077484131,-0.8820773959159851
53,1.792342185974121,0.9404270648956299,0.9259849786758423,0.2888419032096863,0.984398365020752,0.5017246007919312
54,1.6098297834396362,0.34151458740234375,0.3269612789154053,0.29106605052948,-0.2860412299633026,-0.7312335968017578
55,1.5812283754348755,-0.3038540780544281,-0.31915193796157837,0.3059574067592621,-0.5027669668197632,-1.0908915996551514
