epoch,D_loss,G_loss,D_real,D_fake,R1_penalty
1,0.3450542092323303,0.5198807716369629,1.0256060361862183,-1.200697660446167,0.012997284531593323
2,0.9801915884017944,0.24540041387081146,0.17380601167678833,-0.9985063076019287,0.033832699060440063
3,1.112306833267212,1.002752661705017,0.3167605996131897,-0.7963522672653198,0.05124165117740631
4,0.7783108353614807,0.6978615522384644,0.4270591735839844,-1.097067952156067,0.07273685932159424
5,1.1201378107070923,1.6920148134231567,0.666280210018158,-0.5333940386772156,0.07577010244131088
6,0.9137409925460815,1.305121898651123,0.552674412727356,-0.7277294397354126,0.08304470032453537
7,0.8094486594200134,0.5835632085800171,0.42249834537506104,-1.0462279319763184,0.0981711745262146
8,1.0468604564666748,0.9651798009872437,0.4659075140953064,-0.7208713293075562,0.1125342920422554
9,1.2632070779800415,1.09672212600708,0.4305657148361206,-0.5572093725204468,0.11910579353570938
10,0.9621807336807251,1.0569865703582764,1.247711420059204,-0.2427213340997696,0.11509974300861359
11,0.8122586011886597,1.6270740032196045,1.2281241416931152,-0.42520853877067566,0.11821603775024414
12,0.9066044092178345,0.7035910487174988,0.3218669295310974,-1.1187946796417236,0.14478877186775208
13,1.1755144596099854,0.5887620449066162,0.18983423709869385,-1.00581955909729,0.16421520709991455
14,1.481696605682373,0.818611741065979,1.268688440322876,0.21624615788459778,0.1643502414226532
15,1.0159486532211304,1.3651145696640015,0.5996227860450745,-0.6397334337234497,0.16737408936023712
16,1.1019396781921387,1.1198267936706543,0.8459292054176331,-0.457922101020813,0.18228968977928162
17,1.1792778968811035,0.3559315800666809,0.03618188202381134,-1.177680253982544,0.17214207351207733
18,0.9341543316841125,0.8525377511978149,0.5485286712646484,-0.9201036691665649,0.19411051273345947
19,0.8349968194961548,0.9087647199630737,0.5778948664665222,-0.8841120004653931,0.1726958453655243
20,1.0094108581542969,1.3916435241699219,1.0044596195220947,-0.41622287034988403,0.1909540742635727
21,1.3805103302001953,1.0810354948043823,0.3589334785938263,-0.4995464086532593,0.19242577254772186
22,1.3885241746902466,0.9328631162643433,0.28417083621025085,-0.5818960666656494,0.17618735134601593
