epoch,D_loss,G_loss,G_adv,G_laplacian,D_real,D_fake
1,1.1094002723693848,1.3225252628326416,1.3123552799224854,0.01016999315470457,0.5893771052360535,0.3459889590740204
2,1.4340083599090576,0.9917740225791931,0.9814795255661011,0.010294473730027676,0.5144820213317871,0.5141519904136658
3,0.923216700553894,1.1803911924362183,1.1702113151550293,0.01017982792109251,0.6480836272239685,0.33216363191604614
4,1.1150062084197998,1.0908191204071045,1.080683708190918,0.01013543363660574,0.5457932949066162,0.3594341278076172
5,1.2473633289337158,1.1412923336029053,1.1319518089294434,0.009340540505945683,0.61458820104599,0.5161109566688538
6,0.9352329969406128,1.242149829864502,1.2321197986602783,0.010029992088675499,0.6376054286956787,0.3553154468536377
7,1.290480613708496,0.7628297805786133,0.7535103559494019,0.00931940134614706,0.5556237697601318,0.46796083450317383
8,1.1788586378097534,1.0639351606369019,1.0543992519378662,0.009535900317132473,0.4540557265281677,0.2717360854148865
9,1.045121192932129,0.93426513671875,0.9251201152801514,0.00914501491934061,0.6644576787948608,0.41358840465545654
10,0.9484467506408691,1.4810469150543213,1.4718197584152222,0.009227203205227852,0.7114222645759583,0.39903825521469116
11,1.0003407001495361,1.4983603954315186,1.4891552925109863,0.009205056354403496,0.7341853976249695,0.463583767414093
12,1.0465329885482788,1.5025802850723267,1.4936504364013672,0.00892986822873354,0.6812329888343811,0.40446698665618896
13,1.05169677734375,1.4342244863510132,1.4250539541244507,0.00917058251798153,0.6424970626831055,0.4016597270965576
14,0.9338118433952332,1.50557541847229,1.4964467287063599,0.0091286925598979,0.6797138452529907,0.37410420179367065
15,0.9317907094955444,1.390524983406067,1.3816053867340088,0.008919540792703629,0.7311440706253052,0.4189269244670868
16,0.8546690344810486,1.7100565433502197,1.7009371519088745,0.009119399823248386,0.7539337873458862,0.39370641112327576
17,1.119727611541748,1.386810064315796,1.3778536319732666,0.008956430479884148,0.617072582244873,0.42742568254470825
18,0.8045770525932312,1.4014787673950195,1.3921228647232056,0.00935592781752348,0.6698505282402039,0.2790083587169647
19,0.9017931222915649,1.55802321434021,1.5492181777954102,0.008805007673799992,0.7095286250114441,0.3474786877632141
20,0.8521328568458557,1.5441629886627197,1.5351243019104004,0.009038654156029224,0.673560380935669,0.2774603068828583
21,0.9620773792266846,2.3669981956481934,2.357722043991089,0.009276214055716991,0.7154279947280884,0.3796795904636383
22,0.9332239627838135,1.7372965812683105,1.7280596494674683,0.009236931800842285,0.6697137355804443,0.3218059241771698
23,0.9238054752349854,1.477713704109192,1.468464970588684,0.009248691610991955,0.7202639579772949,0.38573309779167175
24,1.4501856565475464,1.815394401550293,1.806549310684204,0.008845102041959763,0.34697794914245605,0.12372300773859024
25,0.7787132263183594,1.4481595754623413,1.4389803409576416,0.009179200045764446,0.7163997888565063,0.3136722445487976
26,1.3664124011993408,1.5482429265975952,1.5390785932540894,0.009164362214505672,0.3358539938926697,0.12048297375440598
27,0.8942437767982483,1.3447692394256592,1.3357728719711304,0.008996308781206608,0.6465749144554138,0.2848479747772217
28,0.7782896161079407,1.4759594202041626,1.4672179222106934,0.008741478435695171,0.8173551559448242,0.3929014801979065
29,1.0111980438232422,1.9660308361053467,1.9570589065551758,0.008971982635557652,0.7206360101699829,0.42775028944015503
30,0.9517720937728882,1.4610645771026611,1.452418327331543,0.008646269328892231,0.5354921817779541,0.11603403091430664
31,0.6881074905395508,2.1046981811523438,2.095761299133301,0.008936840109527111,0.8692799210548401,0.38337647914886475
32,0.7531372904777527,1.7679035663604736,1.758952021598816,0.00895152147859335,0.63211989402771,0.16990405321121216
33,0.8072031140327454,0.9025077819824219,0.8936260342597961,0.008881761692464352,0.7335149645805359,0.29574257135391235
34,0.8264267444610596,1.2105271816253662,1.2017202377319336,0.008806981146335602,0.5986170172691345,0.18686556816101074
35,0.8590008020401001,1.4276487827301025,1.4187566041946411,0.008892125450074673,0.5971765518188477,0.18998786807060242
36,1.0627061128616333,1.6660631895065308,1.657405138015747,0.00865804124623537,0.7674359083175659,0.47284719347953796
37,0.9616037607192993,1.8213974237442017,1.812751054763794,0.008646403439342976,0.7784411907196045,0.447365403175354
38,0.8380948305130005,1.7893555164337158,1.7800315618515015,0.009324007667601109,0.7991563677787781,0.39084142446517944
39,0.9544492959976196,0.9843186736106873,0.9754295349121094,0.0088891526684165,0.6170862913131714,0.28498464822769165
40,0.9931301474571228,1.4148238897323608,1.4062539339065552,0.008569972589612007,0.5058718919754028,0.1890064924955368
41,1.0575110912322998,1.2193875312805176,1.2108352184295654,0.00855229701846838,0.7699375748634338,0.4836542010307312
42,0.7712043523788452,1.555436372756958,1.5468206405639648,0.008615700528025627,0.792543888092041,0.360480934381485
