epoch,D_loss,G_loss,D_real,D_fake,R1_penalty
1,1.8435238599777222,0.1967785358428955,-0.029335565865039825,-0.1858115792274475,0.0021268296986818314
2,1.997116208076477,0.08629472553730011,-0.08552384376525879,-0.08840761333703995,5.9597339713945985e-05
3,2.0059728622436523,0.026437506079673767,-0.028849629685282707,-0.02287670597434044,5.041686745244078e-05
4,1.9766016006469727,0.14207589626312256,-0.04481213539838791,-0.06821058690547943,0.0003660680667962879
5,2.005077600479126,-0.04488609358668327,0.04293779283761978,0.048015426844358444,0.00021778265363536775
6,2.009448289871216,0.040209509432315826,-0.026504134759306908,-0.017055755481123924,0.0008548402111046016
7,1.919407606124878,0.043695785105228424,0.1312389373779297,0.050646595656871796,0.003855248913168907
8,1.8380165100097656,0.8624558448791504,-0.6238232851028442,-0.8027973175048828,0.0034040557220578194
9,1.7366387844085693,0.7306371927261353,-0.41979050636291504,-0.6851876974105835,0.004713688977062702
10,1.6417919397354126,1.1049401760101318,-0.3597153425216675,-0.7179232835769653,0.01563664898276329
11,2.0056662559509277,0.24836678802967072,-0.08066628873348236,-0.0750000923871994,0.014635132625699043
12,1.622934103012085,0.8280661106109619,-0.06237989664077759,-0.46626487374305725,0.02798798680305481
13,1.3032479286193848,0.870860755443573,0.12895968556404114,-0.5843998789787292,0.035462141036987305
14,2.127981185913086,0.7260644435882568,-0.595478892326355,-0.4674975872039795,0.023966852575540543
15,1.242640733718872,0.940389096736908,0.3270184397697449,-0.4735965132713318,0.06410078704357147
16,1.7469325065612793,0.7112300395965576,-0.36210769414901733,-0.6151752471923828,0.02588605135679245
17,1.4728946685791016,0.6487833857536316,0.3107289671897888,-0.3766251802444458,0.07632830739021301
18,1.9605352878570557,0.8870079517364502,-0.5062658786773682,-0.5457305908203125,0.07231254875659943
19,1.6699777841567993,0.03729795664548874,0.4035406708717346,0.07251367717981339,0.053998544812202454
20,1.9565688371658325,0.27546730637550354,-0.13843771815299988,-0.1818688064813614,0.0605611726641655
21,1.5729094743728638,0.3820491433143616,0.14408528804779053,-0.2830052375793457,0.06666281819343567
22,1.7248754501342773,0.12875470519065857,0.4438607096672058,0.15207472443580627,0.08943627029657364
23,1.7107118368148804,0.011600453406572342,0.4763373136520386,0.18307477235794067,0.06429725140333176
24,1.8814786672592163,0.6190271973609924,-0.47870057821273804,-0.5972219705581665,0.021490462124347687
25,1.7935528755187988,0.5914493799209595,-0.33927419781684875,-0.545721173286438,0.029951900243759155
26,1.9841749668121338,-0.006791493855416775,0.2748040556907654,0.2525689899921417,0.0782524049282074
27,1.9208433628082275,0.7499475479125977,-0.2512832283973694,-0.33043986558914185,0.06766259670257568
28,1.8532586097717285,0.7478510141372681,-0.49554675817489624,-0.642288088798523,0.04940622299909592
29,1.8391034603118896,0.6329267621040344,-0.2707003355026245,-0.4330686330795288,0.10497252643108368
