epoch,D_loss,G_loss,D_real,D_fake,gamma
1,2.0680456161499023,0.4696684777736664,-0.5000795125961304,-0.4320336878299713,0.0023202383890748024
2,1.9852455854415894,0.009153584949672222,0.018504321575164795,0.003749915398657322,0.016695087775588036
3,1.981516718864441,-0.2303483784198761,0.2954782247543335,0.2769949734210968,0.02306327596306801
4,2.031564712524414,0.06088109686970711,-0.08773770928382874,-0.05617312341928482,0.024189705029129982
5,2.042945384979248,0.10375198721885681,-0.07175596058368683,-0.02881060540676117,0.028710149228572845
6,1.9816974401474,-0.08250496536493301,0.11344563961029053,0.0951431542634964,0.03680720925331116
7,1.949227213859558,-0.011264728382229805,0.11482174694538116,0.06404901295900345,0.03630615770816803
8,1.866089940071106,0.1370689570903778,0.1831096112728119,0.049199532717466354,0.044243425130844116
9,1.7587127685546875,0.48208606243133545,-0.026443591341376305,-0.2691214382648468,0.04481671378016472
10,1.718522548675537,0.5338725447654724,-0.17571605741977692,-0.4571935534477234,0.04559553042054176
11,1.2958952188491821,0.44090214371681213,0.8293936252593994,0.08442017436027527,0.05574343726038933
12,1.5846478939056396,0.6191480755805969,0.02142028510570526,-0.411848247051239,0.06065831705927849
13,1.9078737497329712,0.6410306096076965,-0.18991902470588684,-0.28297966718673706,0.06912528723478317
14,2.1594626903533936,0.6287016868591309,-0.600405216217041,-0.451188325881958,0.0743943527340889
15,2.01737117767334,0.801293134689331,-0.6788784265518188,-0.6681911945343018,0.07536934316158295
16,1.8172969818115234,0.4662468135356903,0.31633564829826355,0.06752116978168488,0.07678954303264618
17,2.0850272178649902,0.5421884059906006,-0.35408803820610046,-0.26906082034111023,0.0787706971168518
18,1.7448230981826782,0.5323865413665771,-0.07947856187820435,-0.3346554636955261,0.07900404930114746
19,1.794223427772522,0.8245078325271606,-0.5454649329185486,-0.753696620464325,0.07865703105926514
20,1.6907169818878174,0.2296791970729828,-0.19646891951560974,-0.5057518482208252,0.08366231620311737
21,1.7904095649719238,0.5994970798492432,-0.2355937361717224,-0.4505910277366638,0.0791032686829567
22,1.8607003688812256,0.2105652242898941,0.15687093138694763,0.017571205273270607,0.08167437463998795
23,1.8687031269073486,0.6273335218429565,-0.20394843816757202,-0.336546391248703,0.08130305260419846
24,1.9159815311431885,0.93695068359375,-0.7284107208251953,-0.8149009346961975,0.08127730339765549
25,1.633567214012146,0.9232888221740723,-0.23450598120689392,-0.6035370826721191,0.08282743394374847
26,1.4408210515975952,0.8541388511657715,0.0027745291590690613,-0.5929927825927734,0.08352921903133392
27,1.472977638244629,0.741003692150116,0.12736661732196808,-0.49719369411468506,0.08329091966152191
28,2.0025339126586914,1.3215441703796387,-0.5400204658508301,-0.5666515827178955,0.08222521096467972
29,1.2063448429107666,1.43802809715271,0.10024701803922653,-0.7401918172836304,0.08170013129711151
30,0.7702137231826782,0.8841806054115295,0.44073137640953064,-0.9782240390777588,0.08078299462795258
31,1.4641541242599487,0.9193469285964966,0.2356368899345398,-0.38217854499816895,0.08266648650169373
32,1.4511929750442505,0.8219083547592163,-0.0570523738861084,-0.6844032406806946,0.08340956270694733
33,1.2802889347076416,0.7676042318344116,-0.008243788033723831,-0.8157421350479126,0.0798729807138443
34,1.6508913040161133,0.9033424854278564,-0.07951179891824722,-0.4727135896682739,0.07902383804321289
35,1.2627043724060059,0.8076053857803345,0.3107433319091797,-0.4775189459323883,0.07974372804164886
36,1.3829469680786133,0.9920538663864136,0.28749027848243713,-0.4093213677406311,0.0784003809094429
37,1.6235233545303345,0.9111254215240479,-0.10725125670433044,-0.49263596534729004,0.07954946160316467
38,1.7248791456222534,0.790134847164154,0.1988987922668457,-0.11705247312784195,0.0819006934762001
39,1.5680756568908691,0.1178339421749115,0.3338543772697449,-0.0990600734949112,0.08153583854436874
40,1.466007947921753,1.0334668159484863,0.04198792204260826,-0.548941969871521,0.0823378935456276
41,1.5924969911575317,0.34103095531463623,-0.16476070880889893,-0.5853675603866577,0.0831386148929596
42,1.8348922729492188,0.8076251149177551,-0.19065865874290466,-0.4443269968032837,0.08208908885717392
43,1.4740030765533447,0.8238651752471924,-0.045962851494550705,-0.5764562487602234,0.08288092166185379
44,1.6522427797317505,0.726344108581543,-0.041133347898721695,-0.4427936375141144,0.08291995525360107
45,1.4789401292800903,0.43377530574798584,-0.24874579906463623,-0.8350552320480347,0.08367642760276794
46,1.5769007205963135,0.6808499097824097,-0.45743340253829956,-0.9711042046546936,0.08366503566503525
47,1.5688550472259521,0.6659348011016846,0.06648512184619904,-0.3747919797897339,0.08412600308656693
48,1.3915647268295288,0.49086302518844604,0.5250491499900818,-0.16213062405586243,0.08380410075187683
49,1.6728434562683105,0.047573767602443695,-0.27676916122436523,-0.6698542833328247,0.08403365314006805
50,1.5950534343719482,0.08806728571653366,-0.1377323716878891,-0.621709406375885,0.08446808904409409
51,1.4487003087997437,1.3377070426940918,0.23773153126239777,-0.4372174143791199,0.0845353975892067
52,1.7014985084533691,0.721908450126648,0.2648843228816986,-0.07420884072780609,0.08510567992925644
53,1.6839932203292847,0.741907000541687,0.2844351828098297,-0.07119935005903244,0.08521679043769836
54,1.6821887493133545,0.41956716775894165,0.3495560884475708,-0.07720400393009186,0.08619886636734009
55,1.60757315158844,0.7165845036506653,-0.04055466875433922,-0.4445149302482605,0.08689529448747635
56,1.8151116371154785,0.9868096113204956,0.849203884601593,0.4192050099372864,0.08708295226097107
57,1.7292492389678955,0.5568952560424805,0.12434665858745575,-0.24517232179641724,0.08694422990083694
58,1.5694632530212402,0.37076300382614136,0.49174368381500244,-0.04226730763912201,0.08739962428808212
59,1.7519294023513794,0.8923666477203369,-0.47090357542037964,-0.7966509461402893,0.0895797461271286
60,1.6703962087631226,0.8337043523788452,-0.1830335557460785,-0.5126373171806335,0.09067501872777939
61,1.7675421237945557,0.5365235209465027,-0.12557075917720795,-0.35802870988845825,0.09074629843235016
62,1.5808308124542236,0.5762773752212524,0.44325071573257446,-0.006389850750565529,0.09197577089071274
63,1.6613140106201172,0.21663150191307068,0.4845220148563385,0.09319013357162476,0.09305375814437866
64,1.4624156951904297,0.4496336281299591,0.49955102801322937,-0.15372830629348755,0.09244085848331451
65,1.4862964153289795,0.665999174118042,0.27588388323783875,-0.2941846251487732,0.09315375983715057
66,1.7322709560394287,-0.09535439312458038,-0.18942376971244812,-0.482202410697937,0.09488075226545334
