epoch,D_loss,G_loss,G_adv,G_lap,D_real,D_fake
1,0.9313725233078003,1.851015567779541,1.8302080631256104,0.02080746740102768,0.7594141364097595,0.4378967881202698
2,1.0510371923446655,1.1683529615402222,1.1499364376068115,0.01841648481786251,0.6242103576660156,0.3979717195034027
3,1.349303960800171,0.8227710723876953,0.8045876026153564,0.018183445557951927,0.5047815442085266,0.45981013774871826
4,1.290884017944336,1.1946089267730713,1.1752045154571533,0.01940445974469185,0.507160484790802,0.42622068524360657
5,1.1305644512176514,0.8736132383346558,0.8542529344558716,0.019360288977622986,0.578289270401001,0.42485159635543823
6,1.4648511409759521,1.006778597831726,0.9881998300552368,0.018578747287392616,0.5403648018836975,0.5524473190307617
7,1.153925895690918,1.0370935201644897,1.0188640356063843,0.018229452893137932,0.6169956922531128,0.45583707094192505
8,1.1852123737335205,0.8330197930335999,0.8156315088272095,0.017388293519616127,0.6529363393783569,0.5100382566452026
9,1.1943862438201904,0.8266550898551941,0.8084582090377808,0.01819687895476818,0.532116711139679,0.3484359383583069
10,1.4639631509780884,0.9586060643196106,0.9400606155395508,0.018545450642704964,0.37305477261543274,0.3198671340942383
11,1.1910929679870605,1.2714065313339233,1.2527515888214111,0.018654892221093178,0.4814656972885132,0.2973412275314331
12,1.2533760070800781,1.2698942422866821,1.2522051334381104,0.017689134925603867,0.588580846786499,0.4464830756187439
13,1.1006983518600464,1.3706117868423462,1.352976679801941,0.017635157331824303,0.7140695452690125,0.49249446392059326
14,1.1727782487869263,1.123699426651001,1.105339527130127,0.018359839916229248,0.49692732095718384,0.31681862473487854
15,1.158536434173584,1.1277602910995483,1.1093331575393677,0.018427150323987007,0.6205753684043884,0.45500653982162476
16,0.7045505046844482,1.3643385171890259,1.3459075689315796,0.01843089424073696,0.7335020303726196,0.2820279598236084
17,0.810890793800354,1.163635492324829,1.1460344791412354,0.017601000145077705,0.7667610049247742,0.3819902241230011
18,1.0000991821289062,1.8441898822784424,1.8264846801757812,0.01770518347620964,0.6804232597351074,0.33929163217544556
19,0.7053368091583252,1.9713456630706787,1.953058123588562,0.018287552520632744,0.7947553396224976,0.3365412652492523
20,0.8954857587814331,1.7314651012420654,1.714111089706421,0.017354052513837814,0.7322213649749756,0.3856669068336487
21,1.211228370666504,1.5952792167663574,1.577876091003418,0.01740308851003647,0.7512412071228027,0.5344927906990051
22,0.6500407457351685,1.7354583740234375,1.7174499034881592,0.018008505925536156,0.8554112911224365,0.33184126019477844
23,0.7821578979492188,1.972592830657959,1.9546270370483398,0.017965853214263916,0.7196210622787476,0.300119549036026
24,0.7291133999824524,1.5882960557937622,1.5708024501800537,0.01749362237751484,0.7309480905532837,0.29168668389320374
25,0.6337959170341492,1.6502951383590698,1.6329433917999268,0.017351746559143066,0.7643880844116211,0.2168193757534027
26,0.6651928424835205,1.8602122068405151,1.8428056240081787,0.01740657165646553,0.8195594549179077,0.32370999455451965
27,0.8304097652435303,2.325287103652954,2.3076436519622803,0.017643555998802185,0.6928749084472656,0.25305378437042236
28,0.7463740706443787,2.4648640155792236,2.447143077850342,0.017721015959978104,0.8293390274047852,0.3320254683494568
29,0.49355190992355347,1.2671347856521606,1.2493512630462646,0.017783574759960175,0.8166399002075195,0.19988998770713806
30,0.7573050260543823,1.5658156871795654,1.548050045967102,0.017765598371624947,0.6548290252685547,0.16855232417583466
31,0.9032956957817078,1.9308042526245117,1.9130513668060303,0.01775292120873928,0.5957458019256592,0.11723421514034271
32,0.9236809015274048,2.2211945056915283,2.203233003616333,0.017961494624614716,0.6307327747344971,0.20487061142921448
33,0.7266829013824463,1.8629783391952515,1.844748616218567,0.018229708075523376,0.8067131042480469,0.31034955382347107
34,1.0038657188415527,2.3555541038513184,2.3382625579833984,0.017291558906435966,0.5415343642234802,0.1605965495109558
35,0.8902975916862488,1.3220256567001343,1.304471492767334,0.01755414344370365,0.5990773439407349,0.22752153873443604
36,1.0081958770751953,1.6021225452423096,1.5844659805297852,0.01765662245452404,0.5472939610481262,0.14748653769493103
37,0.7509869337081909,1.862380862236023,1.844817042350769,0.017563840374350548,0.739812970161438,0.26376456022262573
38,0.616417646408081,1.756498098373413,1.7384710311889648,0.018027110025286674,0.8042816519737244,0.27912837266921997
39,0.7180090546607971,1.3297220468521118,1.3128235340118408,0.016898490488529205,0.710526704788208,0.22423434257507324
40,0.8499440550804138,1.1183011531829834,1.100588321685791,0.017712807282805443,0.5921268463134766,0.14738157391548157
41,0.8122255802154541,2.236339569091797,2.218625068664551,0.017714591696858406,0.774398684501648,0.3222523629665375
42,1.0707170963287354,1.4003121852874756,1.382558822631836,0.017753345891833305,0.4784238934516907,0.1356429159641266
43,0.6728240251541138,1.4326298236846924,1.4146169424057007,0.018012868240475655,0.7663947939872742,0.2617129683494568
44,1.1822960376739502,1.8217203617095947,1.8036060333251953,0.018114345148205757,0.9093031883239746,0.5857616066932678
45,0.8174978494644165,1.635471224784851,1.6176700592041016,0.017801133915781975,0.6984877586364746,0.2673169672489166
46,0.7236166000366211,0.9035940766334534,0.8853267431259155,0.018267333507537842,0.8528618216514587,0.3985171318054199
47,0.5666530132293701,1.8368358612060547,1.8193379640579224,0.01749785616993904,0.7959535121917725,0.25000423192977905
48,0.8273453116416931,2.0208053588867188,2.003815174102783,0.016990259289741516,0.7719325423240662,0.3456120193004608
49,0.956047773361206,2.132753849029541,2.114901542663574,0.01785234548151493,0.7437227964401245,0.36571890115737915
50,0.6753286123275757,1.1073310375213623,1.090038537979126,0.017292527481913567,0.7127082943916321,0.19845569133758545
51,0.5652531981468201,1.7204015254974365,1.702012062072754,0.018389428034424782,0.8466427326202393,0.2917284369468689
52,0.7907273769378662,2.2130515575408936,2.195099353790283,0.01795218512415886,0.7522911429405212,0.29238104820251465
53,0.9259539842605591,2.4696531295776367,2.4523088932037354,0.017344288527965546,0.880987286567688,0.4828261733055115
54,0.8228582739830017,1.9725698232650757,1.954742193222046,0.017827678471803665,0.6410447955131531,0.15440747141838074
