epoch,D_loss,G_loss,G_adv,G_canny,D_real,D_fake
1,1.3596868515014648,1.1598602533340454,1.060083270072937,0.09977693855762482,0.49650147557258606,0.4566481113433838
2,1.1837396621704102,1.3478262424468994,1.2488749027252197,0.0989513248205185,0.5415569543838501,0.38157254457473755
3,1.2189691066741943,1.1750508546829224,1.0740365982055664,0.10101427882909775,0.4969828128814697,0.3611755669116974
4,1.380899429321289,0.9112290740013123,0.8089694380760193,0.10225962847471237,0.500788688659668,0.4795360863208771
5,1.4344704151153564,0.9844634532928467,0.8904706835746765,0.09399279206991196,0.47286394238471985,0.4610595107078552
6,1.3091580867767334,0.9752992987632751,0.8803882598876953,0.09491103142499924,0.5553081035614014,0.48945945501327515
7,1.3043622970581055,1.2727837562561035,1.1780571937561035,0.09472659230232239,0.4762415885925293,0.3884274661540985
8,0.7887653708457947,1.5047366619110107,1.4074653387069702,0.09727134555578232,0.748117983341217,0.3685120940208435
9,1.4149975776672363,1.0937811136245728,0.992247462272644,0.1015336886048317,0.4096037745475769,0.3338119387626648
10,0.8183540105819702,1.5622981786727905,1.4665216207504272,0.09577660262584686,0.7384774088859558,0.34094178676605225
11,1.0490243434906006,1.3048388957977295,1.2034474611282349,0.10139141231775284,0.6259779930114746,0.3899974822998047
12,1.1411696672439575,1.0933902263641357,0.9946302175521851,0.09875999391078949,0.6574025750160217,0.48696058988571167
13,1.0112597942352295,0.971488893032074,0.8715298175811768,0.09995906054973602,0.6160056591033936,0.3391517400741577
14,0.9945678114891052,1.2730861902236938,1.1716279983520508,0.10145819187164307,0.5643057823181152,0.27932319045066833
15,1.1185731887817383,1.0589053630828857,0.9601675271987915,0.09873781353235245,0.6204801797866821,0.43969589471817017
16,1.0796613693237305,1.110781192779541,1.0150575637817383,0.09572368115186691,0.5864199995994568,0.3896421194076538
17,1.0010707378387451,1.16947340965271,1.0702533721923828,0.09922000765800476,0.643297016620636,0.3986770212650299
18,0.9083633422851562,1.3857688903808594,1.290116548538208,0.09565239399671555,0.7282842397689819,0.4142957329750061
19,0.8715898990631104,1.69029700756073,1.5896662473678589,0.1006307527422905,0.7713903784751892,0.4125126004219055
20,0.8626623153686523,1.7548807859420776,1.657299518585205,0.09758126735687256,0.7482569813728333,0.3702254295349121
21,1.1101055145263672,1.3122570514678955,1.2148884534835815,0.09736856073141098,0.5687018632888794,0.26546287536621094
22,1.0516711473464966,1.1491010189056396,1.0510767698287964,0.09802424162626266,0.573008120059967,0.25654110312461853
23,0.7709931135177612,1.4389759302139282,1.3413710594177246,0.09760486334562302,0.701198935508728,0.2734001874923706
24,0.7838072776794434,1.5022289752960205,1.4060907363891602,0.09613826125860214,0.6951420903205872,0.2804538309574127
25,1.1104183197021484,1.8063489198684692,1.7160080671310425,0.09034088253974915,0.5271729826927185,0.19835816323757172
26,1.2766103744506836,1.2756400108337402,1.1826982498168945,0.09294171631336212,0.4114435911178589,0.2304157018661499
27,1.2593973875045776,1.872605562210083,1.770429253578186,0.10217633098363876,0.3861748278141022,0.11644785851240158
28,1.2314512729644775,1.6338645219802856,1.5375925302505493,0.09627201408147812,0.7908822298049927,0.5358552932739258
29,0.9857596158981323,1.6586450338363647,1.5617159605026245,0.09692908078432083,0.507580578327179,0.15266771614551544
30,0.7941775321960449,1.0111465454101562,0.9086755514144897,0.10247095674276352,0.6612762212753296,0.21976186335086823
31,1.1144366264343262,1.2385472059249878,1.1391692161560059,0.09937799721956253,0.4760403335094452,0.16104097664356232
32,0.9360036849975586,1.5849740505218506,1.486348032951355,0.0986260399222374,0.6842560768127441,0.3504050374031067
33,0.8627696633338928,1.1287742853164673,1.0318171977996826,0.09695713222026825,0.6534198522567749,0.2696165442466736
34,0.956960141658783,1.6525081396102905,1.5547006130218506,0.09780751913785934,0.742961049079895,0.4158157408237457
35,1.1500608921051025,1.3791800737380981,1.2827568054199219,0.09642323106527328,0.5510253310203552,0.33157843351364136
36,0.9590786695480347,1.4048179388046265,1.3094652891159058,0.09535270184278488,0.7731488347053528,0.4686327874660492
37,1.0795109272003174,1.4348764419555664,1.338731288909912,0.09614510834217072,0.5303401350975037,0.2574101388454437
38,1.2063201665878296,1.3631654977798462,1.2678284645080566,0.09533702582120895,0.41848334670066833,0.17766545712947845
39,0.8431368470191956,1.0442068576812744,0.9485762119293213,0.09563062340021133,0.6457424759864807,0.2726864516735077
40,1.0998830795288086,0.7413107752799988,0.6405190229415894,0.10079172998666763,0.5730584263801575,0.36590415239334106
41,0.9746624231338501,1.2790215015411377,1.1805325746536255,0.09848888963460922,0.6920133233070374,0.3892034888267517
42,0.9886113405227661,1.1745011806488037,1.0762081146240234,0.09829308837652206,0.589214563369751,0.26688361167907715
43,0.9550829529762268,1.369433045387268,1.2723853588104248,0.09704769402742386,0.6518059968948364,0.34689655900001526
44,1.2258429527282715,1.629351019859314,1.5305793285369873,0.09877169877290726,0.38989078998565674,0.1770612895488739
45,1.0794678926467896,1.4304403066635132,1.3346892595291138,0.09575099498033524,0.6322202086448669,0.35061588883399963
46,1.0954928398132324,1.7776154279708862,1.6824818849563599,0.09513349086046219,0.6421334743499756,0.36836594343185425
