phase,concurrency,duration_seconds,elapsed_seconds,spawn_rate,status,locust_returncode,health_ok,health_detail,stats_file,log_file,requests,failures,failure_rate,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,rps
soak_warmup_u0016,16,120,121.62554669300005,8,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': '0cf89cbef393', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/06D/Run_Soak_20260819_072959/soak_warmup_u0016_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/06D/Run_Soak_20260819_072959/soak_warmup_u0016.locust.log,40890,0,0.0,46.0,51.0,57.0,46.33937010723948,17.593938999993952,177.16385899996112,343.05625631967376
soak_steady_u0016,16,3600,3601.596149486,8,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': '0cf89cbef393', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/06D/Run_Soak_20260819_072959/soak_steady_u0016_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/06D/Run_Soak_20260819_072959/soak_steady_u0016.locust.log,1226890,0,0.0,46.0,54.0,63.0,46.84078431237641,10.417545999985123,218.00108599995838,340.83491714884207
