Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,15569,0,15,14.885861833707885,12.018114000056812,24.944245999904524,9433.366304836534,263.5809800075638,0.0,15,15,15,15,16,16,17,17,20,24,25
,Aggregated,15569,0,15,14.885861833707885,12.018114000056812,24.944245999904524,9433.366304836534,263.5809800075638,0.0,15,15,15,15,16,16,17,17,20,24,25
