Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,23711,0,19,19.406034648180178,10.200699000051827,35.206877999939934,9435.005187465733,401.3799293338895,0.0,19,20,20,20,20,21,22,24,30,34,35
,Aggregated,23711,0,19,19.406034648180178,10.200699000051827,35.206877999939934,9435.005187465733,401.3799293338895,0.0,19,20,20,20,20,21,22,24,30,34,35
