Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,23654,0,160,157.9164704805941,36.99458500000219,273.47461099998327,9434.629956878329,400.278435706536,0.0,160,160,160,160,160,170,170,180,270,270,270
,Aggregated,23654,0,160,157.9164704805941,36.99458500000219,273.47461099998327,9434.629956878329,400.278435706536,0.0,160,160,160,160,160,170,170,180,270,270,270
