timestamp_utc,health_ok,gpu_memory_mb,gpu_memory_percent,sm_percent,rss_mb,queue_depth,mean_actual_batch_size,max_observed_batch,completed,failed
2026-08-25T06:22:09.646281+00:00,True,677.1875,4.408772786458334,0,1084.05859375,0,0.0,0,0,0
2026-08-25T06:22:14.653422+00:00,True,677.1875,4.408772786458334,4,1086.21484375,0,1.0,1,315,0
2026-08-25T06:22:19.660731+00:00,True,677.1875,4.408772786458334,4,1086.26953125,0,1.0,1,857,0
2026-08-25T06:22:24.666681+00:00,True,677.1875,4.408772786458334,4,1086.27734375,0,1.0,1,1396,0
2026-08-25T06:22:29.674048+00:00,True,677.1875,4.408772786458334,4,1086.28125,0,1.0,1,1940,0
2026-08-25T06:22:34.681597+00:00,True,677.1875,4.408772786458334,4,1086.28515625,0,1.0,1,2483,0
2026-08-25T06:22:39.688202+00:00,True,677.1875,4.408772786458334,4,1086.2890625,0,1.0,1,3025,0
2026-08-25T06:22:44.696473+00:00,True,677.1875,4.408772786458334,4,1086.2890625,0,1.0,1,3564,0
2026-08-25T06:22:49.702578+00:00,True,677.1875,4.408772786458334,4,1086.2890625,0,1.0,1,4106,0
2026-08-25T06:22:54.708060+00:00,True,677.1875,4.408772786458334,4,1086.2890625,0,1.0,1,4650,0
2026-08-25T06:22:59.715478+00:00,True,677.1875,4.408772786458334,4,1086.2890625,0,1.0,1,5197,0
2026-08-25T06:23:04.722365+00:00,True,677.1875,4.408772786458334,4,1086.2890625,0,1.0,1,5739,0
2026-08-25T06:23:09.730092+00:00,True,677.1875,4.408772786458334,4,1086.2890625,0,1.0,1,6280,0
2026-08-25T06:23:41.253211+00:00,True,677.1875,4.408772786458334,0,1086.41015625,0,1.0,1,6434,0
2026-08-25T06:23:46.259140+00:00,True,677.1875,4.408772786458334,3,1086.55078125,0,1.0415611500074482,2,6992,0
2026-08-25T06:23:51.266496+00:00,True,677.1875,4.408772786458334,3,1086.55078125,0,1.099005741492788,2,7848,0
2026-08-25T06:23:56.272550+00:00,True,677.1875,4.408772786458334,3,1086.55078125,0,1.1505149194613151,2,8714,0
2026-08-25T06:24:01.281667+00:00,True,677.1875,4.408772786458334,3,1086.55078125,0,1.1965534465534466,2,9582,0
2026-08-25T06:24:06.288162+00:00,True,677.1875,4.408772786458334,3,1086.55078125,0,1.2381290704558912,2,10456,0
