Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,23735,0,79,79.25806877358286,31.78734000005079,192.43413499998496,9434.457088687592,401.7318839346572,0.0,79,80,80,81,82,84,87,90,190,190,190
,Aggregated,23735,0,79,79.25806877358286,31.78734000005079,192.43413499998496,9434.457088687592,401.7318839346572,0.0,79,80,80,81,82,84,87,90,190,190,190
