Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,10265,0,11,11.31754469498306,9.724997000034818,20.56413299999349,9431.745056015587,173.8072144881396,0.0,11,11,12,12,12,12,12,13,15,19,21
,Aggregated,10265,0,11,11.31754469498306,9.724997000034818,20.56413299999349,9431.745056015587,173.8072144881396,0.0,11,11,12,12,12,12,12,13,15,19,21
