Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,23441,0,39,39.896432311888944,25.350567000032243,157.0818899999722,9435.62817285952,396.60604285502,0.0,39,40,40,41,42,44,46,48,150,160,160
,Aggregated,23441,0,39,39.896432311888944,25.350567000032243,157.0818899999722,9435.62817285952,396.60604285502,0.0,39,40,40,41,42,44,46,48,150,160,160
