epoch,D_loss,G_loss,D_real,D_fake
1,1.0543352365493774,1.2092512845993042,0.5889447331428528,0.36523956060409546
2,1.1506388187408447,1.1533468961715698,0.5601303577423096,0.39236345887184143
3,1.0278372764587402,0.9412879943847656,0.6600445508956909,0.42942649126052856
4,1.164424180984497,1.3575891256332397,0.5353248119354248,0.3557194173336029
5,1.046278476715088,1.0767236948013306,0.622018039226532,0.3873458206653595
6,1.0202152729034424,1.1744078397750854,0.6628432273864746,0.4087664783000946
7,1.0355923175811768,0.875282883644104,0.629349946975708,0.4062960743904114
8,1.1228041648864746,0.9091059565544128,0.6306502223014832,0.4395098388195038
9,0.8137831687927246,1.4468498229980469,0.7420541048049927,0.3536934554576874
10,1.0383869409561157,1.0220993757247925,0.6209155917167664,0.36843016743659973
11,0.9622759819030762,1.6605119705200195,0.6062659621238708,0.3070315420627594
12,0.7437442541122437,1.3604811429977417,0.7391809225082397,0.2962389588356018
13,1.3117949962615967,1.9602054357528687,0.7474953532218933,0.5508320927619934
14,0.940723180770874,1.387789011001587,0.656744658946991,0.33442968130111694
15,0.8413695096969604,1.0899226665496826,0.6713285446166992,0.3168739378452301
16,1.2608271837234497,1.4326939582824707,0.535313069820404,0.3770674467086792
17,1.0130650997161865,1.34511137008667,0.6759071946144104,0.39561206102371216
18,0.9155496954917908,0.7768903970718384,0.7321905493736267,0.42980995774269104
19,1.1269625425338745,1.5118463039398193,0.49293407797813416,0.25751057267189026
20,0.9231787323951721,1.3429670333862305,0.5984124541282654,0.23969346284866333
21,1.0445444583892822,1.1510075330734253,0.6855635643005371,0.42654550075531006
22,0.8734643459320068,0.9169678688049316,0.6667160987854004,0.31484806537628174
23,1.2362563610076904,1.3125793933868408,0.43530771136283875,0.2556665241718292
24,0.9158831834793091,1.470287799835205,0.6591973304748535,0.3258284330368042
25,1.0160434246063232,1.7505786418914795,0.702759861946106,0.38209450244903564
26,0.8929152488708496,1.89802885055542,0.8291046619415283,0.4619048535823822
27,0.9585505723953247,1.4208635091781616,0.6783038973808289,0.35853636264801025
28,1.0339525938034058,0.8930129408836365,0.5642701983451843,0.27122819423675537
29,0.8240898847579956,1.2106772661209106,0.6381310224533081,0.27713268995285034
30,0.803864598274231,1.1692367792129517,0.6637463569641113,0.2691809833049774
31,0.698676586151123,1.496635913848877,0.8128452301025391,0.33360564708709717
32,0.6834384799003601,2.374861478805542,0.7986236810684204,0.29742494225502014
33,0.9934900999069214,1.402480125427246,0.5811582207679749,0.24403366446495056
34,0.947772741317749,1.699392557144165,0.5793916583061218,0.18235264718532562
35,1.225309133529663,1.8086614608764648,0.7422608733177185,0.5130184888839722
36,0.9182912111282349,1.6414721012115479,0.8216949105262756,0.44863393902778625
37,0.808078408241272,1.7617311477661133,0.6538395881652832,0.24473777413368225
38,1.1948275566101074,0.9969066381454468,0.5673741102218628,0.3931032121181488
39,1.007079005241394,1.2618430852890015,0.6238799095153809,0.33466801047325134
40,0.8196778297424316,1.9194917678833008,0.777064323425293,0.3771767020225525
41,0.9244271516799927,2.3117825984954834,0.8205606341362,0.4621579051017761
42,0.7789987325668335,1.43730628490448,0.6622411012649536,0.19940152764320374
43,1.0434041023254395,1.3774571418762207,0.8540317416191101,0.4800218641757965
44,1.366280436515808,1.158268690109253,0.40795063972473145,0.20410768687725067
45,0.8435581922531128,1.6986637115478516,0.6825695037841797,0.28188619017601013
46,0.8032836318016052,1.522059679031372,0.7226778864860535,0.32312852144241333
47,0.9356255531311035,0.9488401412963867,0.5890024304389954,0.20477649569511414
48,0.9373942613601685,1.1150398254394531,0.5843233466148376,0.2454296201467514
49,0.8303928971290588,0.9583921432495117,0.6858912110328674,0.30247586965560913
50,0.8692768812179565,1.654104232788086,0.7196791768074036,0.34980812668800354
51,1.1828389167785645,1.2813669443130493,0.46427279710769653,0.16005119681358337
52,1.1422812938690186,2.110954999923706,0.8046964406967163,0.505696713924408
53,0.6658964157104492,1.9635919332504272,0.7708731889724731,0.2695794105529785
54,0.6824171543121338,1.9675719738006592,0.8547899127006531,0.33465826511383057
55,0.8149414658546448,1.2850403785705566,0.6825656890869141,0.26759833097457886
56,0.8595461845397949,2.139035940170288,0.8249855041503906,0.3872438669204712
57,0.8180602788925171,1.1120702028274536,0.6709765195846558,0.2748005986213684
58,0.8523629903793335,1.3135871887207031,0.5907012820243835,0.19514665007591248
59,0.7481482028961182,1.875727891921997,0.7051794528961182,0.256680428981781
60,0.6496298313140869,1.2613517045974731,0.6983768343925476,0.16092069447040558
61,0.78007972240448,1.9092562198638916,0.7506717443466187,0.30104026198387146
62,0.7508886456489563,1.7237377166748047,0.7702048420906067,0.33089303970336914
63,0.721676230430603,1.8040721416473389,0.7058903574943542,0.20324403047561646
64,0.6128679513931274,2.17728853225708,0.7779327034950256,0.23512974381446838
65,0.6434818506240845,1.5861084461212158,0.8156599402427673,0.26687324047088623
66,0.8415062427520752,2.30222487449646,0.8682364225387573,0.44062551856040955
67,0.7706689834594727,2.5218372344970703,0.9029232263565063,0.41968634724617004
68,0.7539244890213013,1.7906622886657715,0.8556416034698486,0.3814842700958252
69,0.8668221235275269,2.587526559829712,0.8377598524093628,0.3897066116333008
70,0.8045459985733032,1.933271884918213,0.8047381043434143,0.34731072187423706
71,0.7995187044143677,1.771493673324585,0.8117763996124268,0.37137266993522644
72,0.8154057264328003,1.5082743167877197,0.7897956371307373,0.3110385835170746
73,0.6023597717285156,1.3356568813323975,0.7432767152786255,0.21046282351016998
74,0.6902656555175781,2.0725746154785156,0.8880984783172607,0.3787265419960022
75,1.0284688472747803,1.2722892761230469,0.8577662706375122,0.4919703006744385
76,0.7410329580307007,2.130829334259033,0.851935863494873,0.36873000860214233
77,0.7039073705673218,2.3761777877807617,0.8491684198379517,0.33023321628570557
78,0.562036395072937,1.7095447778701782,0.7558758854866028,0.17316286265850067
79,0.6175447106361389,2.423445701599121,0.8283693790435791,0.28240033984184265
80,0.4248524010181427,1.0110044479370117,0.8201989531517029,0.15536855161190033
81,0.5671668648719788,2.0400049686431885,0.80019211769104,0.21720996499061584
82,0.5531681776046753,1.990652084350586,0.8050355315208435,0.2341853380203247
83,0.47730398178100586,1.9099971055984497,0.8682440519332886,0.23999357223510742
84,0.6892106533050537,1.6369705200195312,0.7421689629554749,0.18823590874671936
85,0.5116254687309265,0.9010297060012817,0.7937922477722168,0.1843193769454956
86,0.5348352193832397,2.6725809574127197,0.8791896104812622,0.24786673486232758
87,0.7591648101806641,3.358954906463623,0.8773508071899414,0.39149901270866394
88,0.4746059477329254,2.4849607944488525,0.8137443661689758,0.173798069357872
89,0.5596321821212769,1.445027232170105,0.7517359256744385,0.13525037467479706
90,0.6244408488273621,2.0223095417022705,0.7169113159179688,0.11569518595933914
91,0.6875723600387573,1.6854833364486694,0.6957026124000549,0.11876031756401062
92,0.5603243708610535,2.150669813156128,0.6763792634010315,0.03869331628084183
93,0.6387141942977905,2.4286584854125977,0.6768122315406799,0.06919027864933014
94,0.41139349341392517,2.0414068698883057,0.8103548288345337,0.1213158369064331
95,0.48071426153182983,2.0244572162628174,0.7966818809509277,0.1380195915699005
96,0.4922258257865906,2.869447946548462,0.9354062080383301,0.26735591888427734
97,1.061309576034546,2.1162877082824707,0.480705589056015,0.0354132354259491
98,0.675460696220398,3.4455389976501465,0.9631165862083435,0.38179734349250793
99,0.46070218086242676,2.085432529449463,0.7870611548423767,0.13832564651966095
100,0.6233136653900146,2.4936928749084473,0.7103695869445801,0.10182709246873856
101,0.5116333961486816,2.398535966873169,0.796711802482605,0.13661707937717438
102,0.625365138053894,2.158735990524292,0.9202625155448914,0.3577607572078705
103,0.41102346777915955,2.2860870361328125,0.8595359325408936,0.17955636978149414
104,0.616595447063446,2.8958723545074463,0.8183936476707458,0.22551512718200684
105,0.6907946467399597,3.672001838684082,0.9476882219314575,0.33896780014038086
106,0.5265802145004272,1.5917296409606934,0.7619490623474121,0.11369097977876663
107,0.7530257701873779,3.3017690181732178,0.9595758318901062,0.42848747968673706
108,0.4156772494316101,2.766714334487915,0.8569704294204712,0.17695805430412292
109,0.5844757556915283,2.6316325664520264,0.9215734601020813,0.2977784276008606
110,0.1809867024421692,3.4847872257232666,0.9328056573867798,0.09306488931179047
111,0.49970418214797974,2.814223527908325,0.9075289964675903,0.2558583617210388
112,0.49259763956069946,1.923600673675537,0.7853397130966187,0.13590115308761597
113,0.46370959281921387,1.8092808723449707,0.78883296251297,0.1408703774213791
114,0.6926835775375366,3.24599027633667,0.946665346622467,0.33923736214637756
115,0.4200596809387207,0.8980168700218201,0.7482669353485107,0.04795873910188675
116,0.4399092495441437,3.68705415725708,0.9169142842292786,0.24648207426071167
117,0.5041636228561401,2.6430656909942627,0.8079288601875305,0.18219305574893951
118,0.6392706632614136,2.6590025424957275,0.778443455696106,0.13336396217346191
119,0.35370561480522156,2.740415096282959,0.9283787608146667,0.2091941237449646
120,0.44049355387687683,2.4954710006713867,0.8955175876617432,0.23994943499565125
121,0.4491589069366455,1.542898178100586,0.7803608179092407,0.07666535675525665
122,0.30334898829460144,2.5062835216522217,0.8475290536880493,0.07572008669376373
123,0.35663536190986633,3.395137071609497,0.9283466935157776,0.19107866287231445
124,0.5537555813789368,3.256105899810791,0.957749605178833,0.2639634311199188
125,0.30174264311790466,2.654200315475464,0.8811100721359253,0.1178930327296257
126,1.076995611190796,2.439253568649292,0.5242567658424377,0.03343714773654938
127,0.2966764569282532,2.323072910308838,0.8668073415756226,0.08408750593662262
128,0.2769719660282135,3.1399970054626465,0.8608819842338562,0.07321743667125702
129,0.3981804847717285,3.5408997535705566,0.9237507581710815,0.19683660566806793
130,1.0299214124679565,2.4674479961395264,0.5130733847618103,0.021356672048568726
131,0.35342079401016235,2.9824047088623047,0.824664831161499,0.06156587600708008
132,0.6218370199203491,3.1408653259277344,0.7915591597557068,0.15518414974212646
133,0.5108058452606201,3.469879627227783,0.9516501426696777,0.3011699914932251
134,0.45580610632896423,2.4812231063842773,0.7279164791107178,0.04352494329214096
135,0.5408214330673218,3.8038322925567627,0.8820649981498718,0.19023650884628296
136,0.25188547372817993,3.011343479156494,0.9203832745552063,0.11095095425844193
137,0.2611161470413208,3.7939705848693848,0.890863299369812,0.10349655151367188
138,0.22084185481071472,2.1411855220794678,0.9250413179397583,0.09904958307743073
139,0.23533181846141815,3.5113303661346436,0.8887583613395691,0.08204706013202667
140,0.2890101671218872,3.190509796142578,0.8617236018180847,0.07354915887117386
141,0.2353949248790741,4.320191860198975,0.9476311802864075,0.13029028475284576
142,0.7627753615379333,3.034627676010132,0.6349011063575745,0.036031726747751236
143,0.5731570720672607,4.703539848327637,0.957827091217041,0.25395846366882324
144,0.28861677646636963,2.362720012664795,0.8350633382797241,0.055166229605674744
145,0.34044840931892395,4.16925048828125,0.9538074731826782,0.20852673053741455
146,0.4677511155605316,3.4724557399749756,0.7385327219963074,0.030182654038071632
147,0.30876603722572327,3.1463980674743652,0.8779276013374329,0.10839617997407913
148,0.5804653763771057,3.731614589691162,0.9424819350242615,0.2724568247795105
149,0.22121578454971313,3.8362984657287598,0.9621528387069702,0.13348348438739777
150,0.45434197783470154,2.5260589122772217,0.7945078611373901,0.05796564742922783
151,0.21187874674797058,3.7155120372772217,0.9314048886299133,0.10493428260087967
152,0.1893562376499176,3.1920578479766846,0.9214584231376648,0.08626864105463028
153,0.1508627086877823,2.80366587638855,0.9176362752914429,0.04050254821777344
154,0.4044695496559143,4.423178672790527,0.8875563144683838,0.16341343522071838
155,0.24186168611049652,2.873852491378784,0.8811118602752686,0.07482466101646423
156,0.49278390407562256,2.4403929710388184,0.7289074063301086,0.05568453297019005
157,0.3875255882740021,3.7274208068847656,0.9104505181312561,0.15837134420871735
158,0.46773093938827515,3.734208583831787,0.8868624567985535,0.1615574061870575
159,0.6137697696685791,4.509722709655762,0.944740891456604,0.3002166748046875
160,0.13815787434577942,3.7776401042938232,0.9127492308616638,0.03774876520037651
161,0.548504114151001,5.694929122924805,0.9112646579742432,0.2215423285961151
162,0.2550208866596222,4.062775611877441,0.9537398815155029,0.13035966455936432
163,0.2562792897224426,3.105604648590088,0.9331632256507874,0.12175647914409637
164,0.44889888167381287,3.4306814670562744,0.8157151341438293,0.025371285155415535
165,0.23763254284858704,2.6026980876922607,0.8707077503204346,0.04090568423271179
166,0.18321983516216278,3.626591682434082,0.880323052406311,0.0274344589561224
167,0.8403613567352295,2.8295652866363525,0.5790629982948303,0.017971372231841087
168,0.18094967305660248,3.360759973526001,0.9100876450538635,0.043773483484983444
169,0.22388803958892822,4.033483028411865,0.9262984991073608,0.114162877202034
170,0.5548214316368103,5.669532775878906,0.9723011255264282,0.285309374332428
171,0.4304462671279907,4.306201457977295,0.9211713075637817,0.13495373725891113
172,0.30107975006103516,3.6707165241241455,0.8943954110145569,0.11861322820186615
173,0.3202296495437622,3.081796646118164,0.822533130645752,0.03453512117266655
174,0.15562744438648224,3.767374038696289,0.9768566489219666,0.10520683974027634
175,0.4337925612926483,4.283270359039307,0.8904179334640503,0.13409000635147095
176,0.3920581638813019,5.010158538818359,0.9741429090499878,0.2145240157842636
177,0.8982301354408264,6.641104221343994,0.9900836944580078,0.391484797000885
178,0.369353324174881,4.505429267883301,0.9104903936386108,0.10852596908807755
179,0.2234572470188141,4.143129825592041,0.9580268859863281,0.1276601403951645
180,0.7501251101493835,3.5619699954986572,0.6364855170249939,0.025784077122807503
181,0.2028462141752243,3.5175373554229736,0.9004067182540894,0.0592118501663208
182,0.47974687814712524,4.894446849822998,0.9829616546630859,0.22980563342571259
183,0.7040786147117615,4.228002548217773,0.9688354134559631,0.35406598448753357
184,0.17238256335258484,3.9317917823791504,0.9835120439529419,0.10320819914340973
185,0.447774738073349,5.719170570373535,0.9869981408119202,0.24625766277313232
186,0.14230278134346008,4.472741603851318,0.9812820553779602,0.09932539612054825
187,0.1514400839805603,2.7076451778411865,0.908130407333374,0.033127471804618835
188,0.15877005457878113,2.8257896900177,0.9152146577835083,0.050509143620729446
189,0.2096744179725647,4.1175618171691895,0.9230832457542419,0.07969456911087036
190,0.34094488620758057,4.071045398712158,0.8122077584266663,0.03762073814868927
191,0.675999641418457,2.7081544399261475,0.6721734404563904,0.019099663943052292
192,0.3489237129688263,4.780433654785156,0.96424400806427,0.21023213863372803
193,0.2054714560508728,4.08193826675415,0.9046142101287842,0.057739581912755966
194,0.2996290624141693,4.56242561340332,0.9280321002006531,0.13608120381832123
195,0.12535439431667328,4.361196041107178,0.9369884133338928,0.051595672965049744
196,0.350861132144928,5.145846366882324,0.9520891308784485,0.15247675776481628
197,0.12958809733390808,4.731546401977539,0.9355981349945068,0.04652884975075722
198,0.34034237265586853,3.828026056289673,0.7960582971572876,0.02642134204506874
199,0.23716741800308228,4.142518997192383,0.9117165207862854,0.06692145764827728
200,0.2884294390678406,3.5213489532470703,0.8427754044532776,0.03238392993807793
