epoch,global_step,lambda_target,lambda_effective,clip_interval,d_loss,g_loss,g_adv,d_real_aug,d_fake_aug,clip_mmd,clip_steps,adv_grad_norm,clip_grad_norm_unweighted,weighted_clip_to_adv_grad_ratio,epoch_seconds,training_elapsed_hours
1,625,0.0,0.0,4,1.3969081043243408,0.40198727076649665,0.40198727076649665,0.33025749052464964,-0.4065036348551512,0.0,0,nan,nan,nan,41.34347725099997,0.011572835540833352
2,1250,0.0,0.0,4,1.3899807836532592,0.40999546343684196,0.40999546343684196,0.3315453435122967,-0.41027799782156943,0.0,0,nan,nan,nan,40.428634235000004,0.022803177186666676
3,1875,0.0,0.0,4,1.3776276466369628,0.40533044373095034,0.40533044373095034,0.34714595912396906,-0.41312311633229254,0.0,0,nan,nan,nan,40.08704530499995,0.03393861196472222
4,2500,0.0,0.0,4,1.386263912010193,0.4284245285868645,0.4284245285868645,0.329319121158123,-0.41519789277911184,0.0,0,nan,nan,nan,40.34534444600001,0.04514580918055556
5,3125,0.0,0.0,4,1.3883695669174194,0.41874215579926966,0.41874215579926966,0.3279762672692537,-0.417160498547554,0.0,0,nan,nan,nan,40.25407440999993,0.05632762710916669
6,3750,0.0,0.0,4,1.3765151845932007,0.42933884760439395,0.42933884760439395,0.33814941461086273,-0.4247015830695629,0.0,0,nan,nan,nan,40.32186712999999,0.06757949989944444
7,4375,0.0,0.0,4,1.3751660660743714,0.43371444201767445,0.43371444201767445,0.3377093416273594,-0.42958101080060007,0.0,0,nan,nan,nan,40.57166390400005,0.07884960317333335
8,5000,0.0,0.0,4,1.36606248588562,0.421360729470849,0.421360729470849,0.3589319452673197,-0.4231703492939472,0.0,0,nan,nan,nan,40.485135723999974,0.09009560163916666
9,5625,0.0,0.0,4,1.3734391392707825,0.44438073818683627,0.44438073818683627,0.33994244192242623,-0.4315622681260109,0.0,0,nan,nan,nan,40.31461591900006,0.1012942759463889
10,6250,0.0,0.0,4,1.369881363773346,0.43199086616933347,0.43199086616933347,0.34829512367248533,-0.43417559972405434,0.0,0,nan,nan,nan,40.40232025700004,0.11251729374972222
11,6875,0.0,0.0,4,1.3670459421157837,0.432243633133173,0.432243633133173,0.35560767313838004,-0.43006160170435903,0.0,0,nan,nan,nan,40.38625966699999,0.12382558437388888
12,7500,0.0,0.0,4,1.3774961269378663,0.4291178386986256,0.4291178386986256,0.346468859860301,-0.4265432563185692,0.0,0,nan,nan,nan,40.32235651899987,0.13502640388361115
13,8125,0.0,0.0,4,1.376001701068878,0.4209060319006443,0.4209060319006443,0.3499303758740425,-0.42363323523402213,0.0,0,nan,nan,nan,40.35351439199985,0.1462358692191667
14,8750,0.0,0.0,4,1.3715866116523743,0.4416487725883722,0.4416487725883722,0.3446866041302681,-0.4375761081844568,0.0,0,nan,nan,nan,40.4373930700001,0.15746864339222227
15,9375,0.0,0.0,4,1.3755955980300902,0.4339307322651148,0.4339307322651148,0.348387319034338,-0.42761143498122695,0.0,0,nan,nan,nan,40.52480083299997,0.16872569378777783
16,10000,0.0,0.0,4,1.3785867467880248,0.4371329758882523,0.4371329758882523,0.3449073466420174,-0.4315375524640083,0.0,0,nan,nan,nan,40.343951295000124,0.1799784729661111
17,10625,0.0,0.0,4,1.360652280330658,0.4413755496561527,0.4413755496561527,0.3609052825152874,-0.43829172883629797,0.0,0,nan,nan,nan,40.36551105000012,0.19119129789611108
18,11250,0.0,0.0,4,1.372078308391571,0.4271957238227129,0.4271957238227129,0.354398089787364,-0.4318977968841791,0.0,0,nan,nan,nan,40.3584532509999,0.20240214876583335
19,11875,0.0,0.0,4,1.3729988173484802,0.4433816451847553,0.4433816451847553,0.34768597579598426,-0.439334474158287,0.0,0,nan,nan,nan,40.30373097500001,0.21359778750444447
20,12500,0.0,0.0,4,1.367952541065216,0.4407683037996292,0.4407683037996292,0.3613714181393385,-0.4305227934718132,0.0,0,nan,nan,nan,40.42858596999986,0.22482815670333334
21,13125,0.0,0.0,4,1.3760921178817749,0.43080613397359846,0.43080613397359846,0.34914061253815887,-0.43520581159591676,0.0,0,nan,nan,nan,40.38048821799998,0.23613462087000003
22,13750,0.0,0.0,4,1.3642424304008485,0.45136220118403436,0.45136220118403436,0.35101378671228883,-0.4451607945173979,0.0,0,nan,nan,nan,40.36824412200008,0.24734818970944444
23,14375,0.0,0.0,4,1.36586567401886,0.44360340154469013,0.44360340154469013,0.34727515935599806,-0.4501961850762367,0.0,0,nan,nan,nan,40.32020792000003,0.25854838564055554
24,15000,0.0,0.0,4,1.3630091148376464,0.4347213510811329,0.4347213510811329,0.35602653772234916,-0.44735486157238485,0.0,0,nan,nan,nan,40.23952710599997,0.2697261884675
25,15625,0.0,0.0,4,1.3752418468475343,0.43708246870040895,0.43708246870040895,0.35546102622151377,-0.43256770714223386,0.0,0,nan,nan,nan,40.359740873999954,0.2809373809786111
26,16250,0.0,0.0,4,1.370908265399933,0.4360404348731041,0.4360404348731041,0.35127541922330857,-0.4427608908325434,0.0,0,nan,nan,nan,40.2046583660001,0.2921492026077778
27,16875,0.0,0.0,4,1.368627502822876,0.44092534505724906,0.44092534505724906,0.352165836083889,-0.44593462616205215,0.0,0,nan,nan,nan,40.25106990800009,0.3033302101536111
28,17500,0.0,0.0,4,1.3710849197387696,0.430592014876008,0.430592014876008,0.36402445482313633,-0.4315304589629173,0.0,0,nan,nan,nan,40.233174537000195,0.3145062435863889
29,18125,0.0,0.0,4,1.3671194489479066,0.42785615080296996,0.42785615080296996,0.3578702912926674,-0.4388446776539087,0.0,0,nan,nan,nan,40.32431286600013,0.3257075902541667
30,18750,0.0,0.0,4,1.3752098894119262,0.43998684249520303,0.43998684249520303,0.3593583351820707,-0.4325738847672939,0.0,0,nan,nan,nan,40.364374492000024,0.3369200815216667
31,19375,0.0,0.0,4,1.3677879320144652,0.4325727268457413,0.4325727268457413,0.363769251409173,-0.4391869921445847,0.0,0,nan,nan,nan,40.29810966600007,0.3482039797377778
32,20000,0.0,0.0,4,1.3706433248519898,0.4368836004495621,0.4368836004495621,0.36427578357309104,-0.43765366804003714,0.0,0,nan,nan,nan,40.34301235900011,0.35941055230833335
33,20625,0.0,0.0,4,1.3767655633926392,0.4335220864802599,0.4335220864802599,0.35802215676903726,-0.43364136249274016,0.0,0,nan,nan,nan,40.355055772000014,0.3706204801708333
34,21250,0.0,0.0,4,1.3669802329063416,0.44491965174674986,0.44491965174674986,0.3677407282054424,-0.43686717670857905,0.0,0,nan,nan,nan,40.36112303600021,0.38183207917444445
35,21875,0.0,0.0,4,1.3738896224975585,0.44250460238456724,0.44250460238456724,0.3612443974122405,-0.4360186860561371,0.0,0,nan,nan,nan,40.26915863399995,0.39301813537027774
36,22500,0.0,0.0,4,1.3664665813446044,0.44767196457386016,0.44767196457386016,0.36329763188660147,-0.44490907554626463,0.0,0,nan,nan,nan,40.02676433700003,0.40418185858944444
37,23125,0.0,0.0,4,1.3776975252151489,0.4444276290744543,0.4444276290744543,0.3548525360763073,-0.4396983502984047,0.0,0,nan,nan,nan,40.24974204299997,0.4153625118841666
38,23750,0.0,0.0,4,1.3665382740020753,0.44468227098882196,0.44468227098882196,0.3623507551878691,-0.44760039156973364,0.0,0,nan,nan,nan,40.22163100200032,0.42653534397805554
39,24375,0.0,0.0,4,1.37465372505188,0.4480964513659477,0.4480964513659477,0.3507270384848118,-0.44816740825772283,0.0,0,nan,nan,nan,40.30200172900004,0.4377305350025001
40,25000,0.0,0.0,4,1.377295219516754,0.4441676090091467,0.4441676090091467,0.35509414793252947,-0.4387166667580605,0.0,0,nan,nan,nan,40.27298547500004,0.44891762340805563
41,25625,0.0,0.0,4,1.3720634927749633,0.4314486399337649,0.4314486399337649,0.36346157058775425,-0.44106096369624137,0.0,0,nan,nan,nan,40.19824053100001,0.4601732594172222
42,26250,0.0,0.0,4,1.380220175933838,0.4521932683199644,0.4521932683199644,0.3486191847652197,-0.44191475077569486,0.0,0,nan,nan,nan,40.220745952000016,0.47134583968305555
43,26875,0.0,0.0,4,1.3817830209732056,0.4323378807395697,0.4323378807395697,0.3501816114336252,-0.43940747285485265,0.0,0,nan,nan,nan,40.10674389499991,0.48248674884750004
44,27500,0.0,0.0,4,1.3685686357498168,0.4421397723287344,0.4421397723287344,0.36857804102897646,-0.44147009282410143,0.0,0,nan,nan,nan,40.07104937299982,0.4936177588569444
45,28125,0.0,0.0,4,1.3764302005767823,0.4450683562338352,0.4450683562338352,0.3541914757117629,-0.44595516521930695,0.0,0,nan,nan,nan,40.11457838699971,0.5047608489108334
46,28750,0.0,0.0,4,1.3819646145820617,0.43430788799226283,0.43430788799226283,0.35527802689373494,-0.4360261715143919,0.0,0,nan,nan,nan,40.16857931599998,0.5159675444927778
47,29375,0.0,0.0,4,1.3838029413223267,0.44200772678256034,0.44200772678256034,0.3510954168558121,-0.4400059133514762,0.0,0,nan,nan,nan,40.214503394000076,0.5271384112875
48,30000,0.0,0.0,4,1.3753115774154663,0.4300438607752323,0.4300438607752323,0.3649568386167288,-0.4389598859488964,0.0,0,nan,nan,nan,40.23330764699995,0.5383145229333334
49,30625,0.0,0.0,4,1.3720506022453307,0.44095132108330726,0.44095132108330726,0.35683462724387643,-0.4476573527276516,0.0,0,nan,nan,nan,40.135645919000126,0.5494635114116666
50,31250,0.0,0.0,4,1.3747590664863587,0.43841264790594575,0.43841264790594575,0.36118436896950007,-0.44179221828877924,0.0,0,nan,nan,nan,40.16005644100005,0.5606192355780556
