epoch,D_loss,G_loss,D_real,D_fake
1,0.5206000804901123,1.3861491680145264,1.1242096424102783,-0.6797869205474854
2,1.2147108316421509,0.6835225820541382,0.11393167823553085,-0.7246707677841187
3,1.1273679733276367,-0.12338995933532715,-0.03560821712017059,-1.1174001693725586
4,1.1791597604751587,1.3628079891204834,0.9280678629875183,-0.11911029368638992
5,1.5021698474884033,0.978059709072113,-0.12471354752779007,-0.6591129899024963
6,1.696732997894287,0.39592427015304565,0.40645632147789,0.06058167666196823
7,1.1422486305236816,0.9197244644165039,0.09073733538389206,-0.7862828969955444
8,0.7936716079711914,1.233931303024292,0.5572502017021179,-0.765421450138092
9,1.3451435565948486,0.7870581150054932,-0.014286499470472336,-0.7131860852241516
10,0.3605725169181824,1.5860227346420288,1.2150285243988037,-0.8295041918754578
11,0.8747352361679077,0.7633054256439209,0.2043752372264862,-1.6366468667984009
12,1.0988291501998901,0.9445782899856567,0.204298198223114,-0.759506106376648
13,1.0193190574645996,1.4592403173446655,1.1144065856933594,-0.17025485634803772
14,1.5241261720657349,0.9105965495109558,0.021731726825237274,-0.5240129828453064
15,0.9577181339263916,0.6629385948181152,0.16949081420898438,-1.3170865774154663
16,1.0740572214126587,1.0990153551101685,1.3802850246429443,-0.03741778805851936
17,1.3631969690322876,0.8224190473556519,0.7982602715492249,0.0017537027597427368
18,1.0452618598937988,0.6779371500015259,0.30594542622566223,-0.7763721346855164
19,1.3288627862930298,1.0061874389648438,1.3395065069198608,0.2335662841796875
20,1.0483418703079224,0.8173705339431763,0.7694323062896729,-0.319611132144928
21,1.119985818862915,0.3219505846500397,0.15721724927425385,-0.8454239964485168
22,0.9522082805633545,1.3562037944793701,0.9539116024971008,-0.3173583745956421
23,0.6548895239830017,1.5164592266082764,0.6005716323852539,-0.9744125008583069
24,1.0928140878677368,0.8464930057525635,0.8352964520454407,-0.2558490037918091
25,0.872875452041626,0.8762749433517456,0.46494463086128235,-0.7950751781463623
26,1.1540625095367432,0.617570161819458,0.1941174566745758,-0.8188337087631226
27,0.9304184317588806,1.1927591562271118,0.5441440343856812,-0.8345351219177246
28,0.8172027468681335,1.0571672916412354,0.4223230183124542,-0.959539532661438
29,1.0503566265106201,0.16834291815757751,0.05871044099330902,-1.180464267730713
30,1.520994782447815,0.7858650088310242,1.072300672531128,0.342528373003006
31,1.6579360961914062,0.6950622797012329,0.6522344946861267,0.14916101098060608
32,1.092914342880249,0.5322318077087402,0.5341136455535889,-0.4869536757469177
33,1.3345506191253662,0.9343863725662231,0.29117879271507263,-0.40900546312332153
34,1.2626876831054688,1.2466074228286743,1.2207162380218506,0.09670450538396835
35,1.492256760597229,1.1113762855529785,1.1812171936035156,0.33674895763397217
36,1.1859632730484009,1.161832332611084,0.9171510338783264,-0.045111432671546936
37,0.9846871495246887,0.27931052446365356,0.38662397861480713,-0.7018733024597168
38,1.5966860055923462,1.3139947652816772,1.7256242036819458,0.586307168006897
39,1.1244306564331055,1.0690040588378906,0.8282922506332397,-0.16308361291885376
