restored_layer,layer_index,excluded_node,status,error,engine,fid_standard,fid_delta_vs_fp32,blur_rate,blur_delta_pp_vs_fp32,fid_recovery_vs_int8,blur_recovery_pp_vs_int8,laplacian_mean,latency_mean_ms_batch,throughput_images_per_s,cuda_used_after_engine_mb,mae_vs_fp32,rmse_vs_fp32,mae_vs_int8,quantized_onnx
none,-1,,ok,,generator_trt_fp32.engine,41.68043940327986,0.0,0.1796875,0.0,5.282796707581852,0.78125,7590.024069786072,6.704939200035369,4772.601069944258,1607335936.0,0.0,0.0,0.013675234280526638,
all_int8,-2,,ok,,generator_trt_int8.engine,46.963236110861715,5.282796707581852,0.1875,0.78125,0.0,0.0,7443.105394363403,1.2054123800498928,26546.931597529714,1477312512.0,0.013675234280526638,0.028351550921797752,0.0,
net.0,0,net.0.ConvTranspose,ok,,generator_trt_int8_restore_net_0.engine,46.76603296912709,5.085593565847226,0.18359375,0.390625,0.19720314173462583,0.390625,7530.815550804138,1.2825139999858948,24950.994687271985,1494089728.0,0.007623740006238222,0.013996699824929237,0.012104709632694721,generator_int8_restore_net_0.onnx
net.3,1,net.3.ConvTranspose,ok,,generator_trt_int8_restore_net_3.engine,46.91200099402371,5.231561590743844,0.19140625,1.171875,0.051235116838007855,-0.390625,7453.9322118759155,1.4132974199947057,22642.084777965472,1491992576.0,0.01412449311465025,0.028729183599352837,0.006657442077994347,generator_int8_restore_net_3.onnx
net.6,2,net.6.ConvTranspose,ok,,generator_trt_int8_restore_net_6.engine,47.6687616187252,5.988322215445336,0.1875,0.78125,-0.7055255078634843,0.0,7457.072102546692,1.5915953400144645,20105.613025801635,1506672640.0,0.01625738851726055,0.030884485691785812,0.010562767274677753,generator_int8_restore_net_6.onnx
net.9,3,net.9.ConvTranspose,ok,,generator_trt_int8_restore_net_9.engine,52.11828661100775,10.437847207727884,0.171875,-0.78125,-5.155050500146032,1.5625,7579.516503334045,1.592100779998873,20099.230150507592,1510866944.0,0.01685407944023609,0.030291015282273293,0.012919865548610687,generator_int8_restore_net_9.onnx
net.12,4,net.12.ConvTranspose,ok,,generator_trt_int8_restore_net_12.engine,42.88555907188643,1.2051196686065708,0.1953125,1.5625,4.077677038975281,-0.78125,7397.3831424713135,1.2569327799974417,25458.799793625505,1491992576.0,0.011040427722036839,0.026992663741111755,0.0061491429805755615,generator_int8_restore_net_12.onnx
