epoch,D_loss,G_loss,G_adv,G_fft,D_real,D_fake
1,1.133538007736206,1.1579724550247192,1.1539376974105835,0.0040347459726035595,0.5936958193778992,0.4188971519470215
2,1.281660795211792,1.0190242528915405,1.0150870084762573,0.003937303554266691,0.4942548871040344,0.3854203522205353
3,0.7981950044631958,1.6121151447296143,1.6082205772399902,0.00389459659345448,0.7331205606460571,0.36143624782562256
4,1.4360480308532715,1.4552453756332397,1.4514957666397095,0.00374964508228004,0.6529881954193115,0.6133641600608826
5,1.1754233837127686,0.9436497092247009,0.9399110674858093,0.0037386342883110046,0.5143359303474426,0.357968270778656
6,1.5433980226516724,2.055880069732666,2.052173614501953,0.0037065420765429735,0.7824323773384094,0.7049245834350586
7,1.1035046577453613,1.0029828548431396,0.9993475675582886,0.00363526470027864,0.5386493802070618,0.3497176766395569
8,1.1988563537597656,1.0339597463607788,1.030346155166626,0.003613589098677039,0.5670715570449829,0.42762836813926697
9,1.1154866218566895,1.5108497142791748,1.5073045492172241,0.0035451557487249374,0.49219009280204773,0.2670517563819885
10,1.2130160331726074,1.6216442584991455,1.6180336475372314,0.0036105613689869642,0.714529275894165,0.5328218340873718
11,2.236509084701538,1.3099324703216553,1.306274175643921,0.0036583051551133394,0.5588685274124146,0.7186675667762756
12,1.023601770401001,1.4389976263046265,1.4355332851409912,0.0034643111284822226,0.6814773082733154,0.42969509959220886
13,0.9066398739814758,1.5339540243148804,1.5303080081939697,0.0036459900438785553,0.7437126636505127,0.41489142179489136
14,0.6290432214736938,1.320053219795227,1.3165836334228516,0.00346962152980268,0.7277737259864807,0.22561080753803253
15,1.3267569541931152,1.4701848030090332,1.4667283296585083,0.003456421196460724,0.37013667821884155,0.2135373204946518
16,1.0897419452667236,1.2583860158920288,1.2549545764923096,0.0034314224030822515,0.5925881862640381,0.38479721546173096
17,1.0003869533538818,1.3694709539413452,1.3660763502120972,0.0033946335315704346,0.545879065990448,0.2710813879966736
18,1.1936993598937988,0.7814783453941345,0.778018593788147,0.003459732746705413,0.5641154646873474,0.44781070947647095
19,1.0169421434402466,1.4104063510894775,1.4068645238876343,0.0035418772604316473,0.5396504402160645,0.22720967233181
20,1.0683262348175049,1.1159780025482178,1.1125108003616333,0.0034671619068831205,0.6660984754562378,0.421806663274765
21,1.0305240154266357,1.799136996269226,1.7956558465957642,0.0034811177756637335,0.5214634537696838,0.21250608563423157
22,0.8519315123558044,1.5474728345870972,1.543962001800537,0.0035108488518744707,0.6546612977981567,0.29961133003234863
23,0.9512717127799988,2.1127943992614746,2.1092827320098877,0.0035117571242153645,0.8160282373428345,0.4337780475616455
24,0.7289021611213684,1.9069983959197998,1.9037182331085205,0.003280172822996974,0.8086128234863281,0.326501727104187
25,1.066967248916626,1.6866828203201294,1.6833240985870361,0.003358695423230529,0.5658844113349915,0.2643365263938904
26,1.9267761707305908,2.492920160293579,2.489462375640869,0.003457671729847789,0.9493075013160706,0.7738661766052246
27,0.7369730472564697,2.3717098236083984,2.3683905601501465,0.003319286508485675,0.8257619738578796,0.35673651099205017
28,0.8251582384109497,1.7446030378341675,1.7411890029907227,0.0034140367060899734,0.7022793292999268,0.283414751291275
29,0.7656794190406799,2.165987014770508,2.1626131534576416,0.003373759565874934,0.5862859487533569,0.08856499940156937
30,0.7813476324081421,1.4257783889770508,1.422276496887207,0.0035018527414649725,0.6754639744758606,0.191279336810112
31,0.9753890633583069,1.4751694202423096,1.4717464447021484,0.003422942478209734,0.6502939462661743,0.28211596608161926
32,1.0821620225906372,0.7880000472068787,0.7846465110778809,0.0033535261172801256,0.5111182928085327,0.1404813677072525
33,0.7947836518287659,1.3314058780670166,1.328166127204895,0.0032397755421698093,0.6734822988510132,0.21190479397773743
34,0.9175060987472534,1.1911431550979614,1.187826156616211,0.003316940739750862,0.7427313327789307,0.28111323714256287
35,0.9764796495437622,0.9916325211524963,0.9883238673210144,0.003308655461296439,0.5532002449035645,0.17074337601661682
36,0.7908487319946289,2.2184295654296875,2.2150352001190186,0.0033943422604352236,0.7842936515808105,0.3324660658836365
37,0.9667357206344604,2.0433871746063232,2.039992570877075,0.003394488012418151,0.5671470761299133,0.14573313295841217
38,0.7465658187866211,2.2561662197113037,2.252647876739502,0.0035183753352612257,0.8334285020828247,0.36880791187286377
39,0.46223777532577515,1.8467503786087036,1.8433611392974854,0.003389295656234026,0.8261036276817322,0.1928175389766693
40,0.9682260155677795,1.2491590976715088,1.2456969022750854,0.00346221006475389,0.674308180809021,0.326673686504364
41,1.0028951168060303,1.5563955307006836,1.5530297756195068,0.003365712007507682,0.7061585187911987,0.3543451130390167
42,0.7273756265640259,1.9209398031234741,1.9175697565078735,0.0033700664062052965,0.8546940088272095,0.39556342363357544
43,1.1514545679092407,2.185976505279541,2.182622194290161,0.0033542290329933167,0.8916534185409546,0.5759769678115845
44,1.0469235181808472,2.1270008087158203,2.1236658096313477,0.0033349927980452776,0.4588661789894104,0.11639732122421265
45,0.8374187350273132,1.4630717039108276,1.4595236778259277,0.0035480428487062454,0.7681719660758972,0.38085025548934937
46,0.8905603289604187,1.7806503772735596,1.777320146560669,0.0033302668016403913,0.8198351263999939,0.43694308400154114
47,0.8790236711502075,1.49801766872406,1.4946072101593018,0.0034104858059436083,0.6303457021713257,0.23872104287147522
48,1.1165610551834106,1.5968122482299805,1.593503713607788,0.0033084952738136053,0.7637069225311279,0.47073644399642944
49,0.9541365504264832,1.64813232421875,1.644775152206421,0.0033571652602404356,0.8256971836090088,0.47082462906837463
50,0.7622202634811401,1.3039730787277222,1.3007205724716187,0.003252530936151743,0.7775717377662659,0.31854480504989624
