comparison,subband,mae_01,rmse_01,baseline_mean_abs,error_to_baseline_ratio
FP16_vs_FP32,LL,0.0005573056405410171,0.0008647038484923542,1.2601045370101929,0.0004422693746164441
FP16_vs_FP32,LH,0.0003483736654743552,0.0005403275135904551,0.08729199320077896,0.003990900702774525
FP16_vs_FP32,HL,0.0002417496871203184,0.0003823759616352618,0.048822734504938126,0.004951580427587032
FP16_vs_FP32,HH,0.00021159418975003064,0.0003092797414865345,0.036389075219631195,0.005814772564917803
INT8_vs_FP32,LL,0.02088497392833233,0.043537069112062454,1.2601045370101929,0.01657400093972683
INT8_vs_FP32,LH,0.011247818358242512,0.021307941526174545,0.08729199320077896,0.12885281443595886
INT8_vs_FP32,HL,0.008462593890726566,0.015985557809472084,0.048822734504938126,0.1733330637216568
INT8_vs_FP32,HH,0.007165393326431513,0.012538312003016472,0.036389075219631195,0.196910560131073
