epoch,global_step,lambda_target,lambda_effective,clip_interval,d_loss,g_loss,g_adv,d_real_aug,d_fake_aug,clip_mmd,clip_steps,adv_grad_norm,clip_grad_norm_unweighted,weighted_clip_to_adv_grad_ratio,epoch_seconds,training_elapsed_hours
1,625,0.05,0.010000000000000002,4,1.3967044454574584,0.4011182140171528,0.4010020282834768,0.3316913974314928,-0.40527592767477033,0.04625218138573276,157,5.4684929847717285,0.44966402649879456,0.000822281436130552,75.58801771499998,0.021106714704722203
2,1250,0.05,0.020000000000000004,4,1.3897423009872436,0.40865784360617396,0.40844339409172536,0.3333107605278492,-0.40841491625458004,0.042958639562129974,156,6.218944549560547,0.36302995681762695,0.0011674970050771076,75.5175568520001,0.042083988230833334
3,1875,0.05,0.03,4,1.3781098306655883,0.4072272585824132,0.4069044156089425,0.3447886592954397,-0.4144009139761329,0.04311471623487961,156,6.220821380615234,0.4580295979976654,0.0022088542813249847,75.66743919800001,0.06310297160194443
4,2500,0.05,0.04000000000000001,4,1.3863430953025817,0.42946513416469095,0.4290187234312296,0.3296319532185793,-0.41468924904465676,0.044712588955194525,156,6.349945068359375,0.6214100122451782,0.0039144276402739405,75.434870563,0.08405733848694445
5,3125,0.05,0.05,4,1.389395061302185,0.4203205845236778,0.41978494111299514,0.32697804988920687,-0.41676088580489157,0.042646776149227364,157,6.621163845062256,0.5806593298912048,0.004384873592308341,75.756093513,0.10510094527249998
6,3750,0.05,0.05,4,1.377203438091278,0.43132606527507306,0.4307707147359848,0.3370139380350709,-0.42564411543011665,0.04449925151390907,156,6.276333332061768,0.4609590470790863,0.003672200173980099,75.62542396800018,0.1261593729236111
7,4375,0.05,0.05,4,1.373896459007263,0.4320469949632883,0.431510863879323,0.33909837917536495,-0.4302748853266239,0.04295922032533548,156,6.874380588531494,0.47766485810279846,0.0034742392565497836,75.52682027300011,0.14713921333944444
8,5000,0.05,0.05,4,1.3649794304847718,0.42234851818978786,0.42181502041518687,0.3588226318389177,-0.42573088584542274,0.0427482185455469,156,6.750731945037842,0.561497151851654,0.004158787198359915,75.50866725700007,0.16811405347805555
9,5625,0.05,0.05,4,1.3739759292602538,0.4441305754482746,0.4435701008439064,0.3409857800900936,-0.4304318766832352,0.044623776985581516,157,6.951619625091553,0.35698387026786804,0.0025676309228668892,75.7626631019998,0.1891593878483333
10,6250,0.05,0.05,4,1.3703287599563598,0.43376837897002696,0.43320155939757826,0.34769658421874045,-0.43496114955544474,0.04541822962271862,156,6.724540710449219,0.5192815065383911,0.003861092741482575,75.55900809599984,0.21014818367111107
11,6875,0.05,0.05,4,1.3678302887916565,0.43208111738711596,0.4315330399304628,0.35500537550449374,-0.42954013375639916,0.04391645831175339,156,6.872253894805908,0.42747560143470764,0.0031101557653290166,75.44952425300016,0.23120753046416664
12,7500,0.05,0.05,4,1.3778622135162353,0.4318844449520111,0.43134274213016033,0.3469456342369318,-0.4261181417018175,0.043405669048810616,156,7.084284782409668,0.5182546973228455,0.003657777130936886,75.50186283799985,0.25218048072055554
13,8125,0.05,0.05,4,1.3744910900115968,0.42274073588550093,0.4221897105664015,0.3480568744599819,-0.42667760851085185,0.04387143747821735,157,7.691592693328857,0.4389770030975342,0.002853615763340353,75.66005314299991,0.27319731593166663
14,8750,0.05,0.05,4,1.3718065526008605,0.4416877349317074,0.4411446374118328,0.3446420571893454,-0.4375529384031892,0.04351740865371166,156,7.622288703918457,0.4203212559223175,0.0027571853563237462,75.51928538399989,0.29417505517222214
15,9375,0.05,0.05,4,1.3758594469070435,0.4329284867703915,0.432365450412035,0.35272775236666204,-0.4237948481589556,0.0451151124941997,156,7.462788105010986,0.5012326240539551,0.0033582128890769117,75.65865969399988,0.31519158126527774
16,10000,0.05,0.05,4,1.3789255683898927,0.44063429583162067,0.44008509952425956,0.3440037779435515,-0.4327201338261366,0.04400610197813083,156,7.2769646644592285,0.464956670999527,0.0031947157395883774,75.68643981000014,0.3362630015144445
