epoch,D_loss,G_loss,D_real_aug,D_fake_aug,D_real_raw,D_fake_raw
1,1.175286889076233,0.5555629134178162,0.7678008079528809,-0.2801334261894226,0.3521319031715393,-0.7888945937156677
2,1.1479793787002563,0.4808940887451172,0.2647992968559265,-0.8564275503158569,0.3796992301940918,-1.095459222793579
3,1.4144145250320435,0.7652091979980469,0.7176392078399658,-0.3085651993751526,-0.13385069370269775,-1.2346453666687012
4,1.2455822229385376,0.43248191475868225,0.11432040482759476,-0.8633211255073547,0.5392558574676514,-0.7635949850082397
5,1.1326985359191895,0.8595640659332275,0.5534003973007202,-0.6649463772773743,-0.2575918734073639,-1.1396375894546509
6,1.0907331705093384,0.8956170082092285,0.4917312264442444,-0.8731871247291565,0.5353653430938721,-1.2439115047454834
7,1.2023963928222656,0.7205840349197388,0.5306968688964844,-0.722156822681427,-0.0441337525844574,-1.33986234664917
8,1.385948657989502,0.8452317118644714,0.5550528764724731,-0.3706636428833008,-0.07986627519130707,-1.2958359718322754
9,1.3928271532058716,0.4132955074310303,0.2859630584716797,-0.5662938356399536,0.6971635818481445,-0.7312116622924805
10,1.2307568788528442,0.11784517765045166,0.22357593476772308,-0.7914915084838867,0.6122109889984131,-0.4942832589149475
11,1.352558970451355,0.06814666092395782,-0.14090219140052795,-1.0398435592651367,0.96015864610672,-0.13603509962558746
12,0.8044699430465698,0.006655391305685043,0.8737317323684692,-0.9479820728302002,0.8855935335159302,-0.4081379175186157
13,1.2434628009796143,0.5385934710502625,0.7267712354660034,-0.33222144842147827,0.3639366030693054,-0.7773436307907104
14,1.391817569732666,0.23708583414554596,1.0849509239196777,0.034680500626564026,1.0054625272750854,-0.18544641137123108
15,1.5462183952331543,-0.173857182264328,0.3674757480621338,-0.31956911087036133,0.7640244960784912,-0.061858516186475754
16,1.6084486246109009,0.5739904642105103,-0.5391226410865784,-1.6421430110931396,0.6199595928192139,-0.7022784352302551
17,1.0924204587936401,0.614917516708374,0.28500837087631226,-0.9805638194084167,0.39149755239486694,-1.013014793395996
18,1.1856415271759033,0.6398529410362244,0.6492469906806946,-0.5202293395996094,0.4792986810207367,-0.8210231065750122
19,1.351309061050415,0.5228456258773804,0.10696527361869812,-0.9942076206207275,0.2900657057762146,-0.549132227897644
20,1.0822179317474365,0.8975883722305298,0.7578697204589844,-0.5350669026374817,0.23509228229522705,-1.4379780292510986
21,1.0731045007705688,0.5487956404685974,0.7322326302528381,-0.4916698634624481,0.5217845439910889,-0.7534601092338562
22,1.428356409072876,0.48517680168151855,0.45843327045440674,-0.3392011225223541,0.6479065418243408,-0.8649824857711792
23,1.3173110485076904,0.3990955948829651,0.19377486407756805,-0.6657568216323853,0.4380328953266144,-0.7267990112304688
24,1.4532610177993774,0.7224564552307129,0.3242485523223877,-0.439085453748703,0.20733124017715454,-1.0540574789047241
25,1.3505549430847168,0.3018072843551636,0.1971748024225235,-0.8012198805809021,0.7921056747436523,-0.7833776473999023
26,1.261778712272644,0.9292885065078735,0.5759792327880859,-0.47100216150283813,0.12928953766822815,-1.1380423307418823
27,1.2252062559127808,0.5628024339675903,0.49909186363220215,-0.4858381450176239,0.32476043701171875,-0.8842110633850098
28,1.2785882949829102,-0.04806328937411308,1.0283794403076172,-0.25882256031036377,0.8994224667549133,-0.6420618295669556
29,1.299660325050354,0.3750908374786377,0.83573317527771,-0.11480125784873962,0.08628594875335693,-0.6474931836128235
30,1.2235974073410034,0.8684262633323669,0.9045537114143372,-0.28919368982315063,-0.08119204640388489,-1.2392828464508057
31,1.4891469478607178,0.45844680070877075,0.4107804298400879,-0.26862797141075134,0.39003610610961914,-0.349974125623703
32,1.449421763420105,0.21231971681118011,0.46635687351226807,-0.1761959195137024,0.2654191553592682,-0.6179888844490051
33,1.2332603931427002,0.5322844386100769,0.5935719013214111,-0.5692455768585205,0.4149668216705322,-0.7569843530654907
34,1.3853120803833008,0.7979241609573364,0.447330117225647,-0.3874441683292389,-0.13399609923362732,-1.2467660903930664
35,1.252950668334961,0.9132895469665527,0.7050562500953674,-0.3750155568122864,0.036009885370731354,-1.1554325819015503
36,1.6554266214370728,0.5378668308258057,-0.1982133388519287,-0.6242056488990784,0.11368878185749054,-0.7758228182792664
37,1.5698033571243286,0.14412347972393036,-0.15681636333465576,-0.7245285511016846,0.5660296678543091,0.00037493184208869934
38,1.3653416633605957,0.04772603139281273,-0.14630529284477234,-1.280070424079895,1.0689916610717773,0.06716812402009964
39,1.2114499807357788,0.9053578972816467,0.7410658001899719,-0.2514752447605133,-0.20530754327774048,-1.2145636081695557
40,1.430985927581787,0.18863964080810547,0.6878167390823364,-0.06375083327293396,0.4790729880332947,-0.5449656844139099
41,1.6177339553833008,0.1887138932943344,0.9012218713760376,0.3099213242530823,0.4426882863044739,-0.5123511552810669
42,1.0566425323486328,0.29290008544921875,0.4366164207458496,-0.8534992933273315,0.6470894813537598,-0.6791465282440186
43,1.176626205444336,0.9412814378738403,1.2032735347747803,-0.12290950119495392,0.3400839865207672,-1.1000165939331055
44,1.3784211874008179,0.743522047996521,0.15137282013893127,-0.667373538017273,0.3623519539833069,-0.9109007120132446
45,1.0210373401641846,0.4012596607208252,0.47179168462753296,-0.8715023994445801,0.6709001064300537,-0.6942844390869141
46,1.3500421047210693,0.6235469579696655,0.5312662124633789,-0.3293086886405945,0.16120998561382294,-0.8836416006088257
47,1.1726371049880981,0.8060042858123779,0.5581569671630859,-0.5301969051361084,0.07498500496149063,-0.9253172874450684
48,0.8628871440887451,1.423933744430542,1.0472404956817627,-0.46612346172332764,-0.6520567536354065,-1.7373231649398804
49,1.3630220890045166,0.38919609785079956,0.1456669270992279,-0.7180356383323669,0.8317337036132812,-0.6092145442962646
50,1.245564579963684,0.9198516607284546,0.3706150949001312,-0.6216137409210205,0.29104578495025635,-0.7466168999671936
51,0.9324841499328613,0.5752802491188049,0.5890376567840576,-1.1994508504867554,0.8648154735565186,-1.009621500968933
52,1.0087966918945312,0.19640986621379852,0.3182082176208496,-0.9175151586532593,0.5305215716362,-0.48733198642730713
53,1.4032189846038818,0.769604504108429,0.610413670539856,-0.28572535514831543,0.12252790480852127,-0.885613203048706
54,0.8306930065155029,0.2808836102485657,0.587581217288971,-1.130225658416748,0.9430193901062012,-0.45778337121009827
55,1.2263379096984863,0.1119055226445198,0.3817956745624542,-0.665400505065918,0.7553733587265015,-0.4331173002719879
56,1.2656649351119995,0.31668978929519653,0.328908771276474,-0.6814388632774353,0.4831622540950775,-0.6948795914649963
