epoch,D_loss,G_loss,G_adv,G_wavelet,D_real,D_fake
1,1.1945154666900635,2.4809467792510986,2.411543369293213,0.06940332055091858,0.7534446716308594,0.5612385272979736
2,1.0478594303131104,1.4756289720535278,1.4101639986038208,0.06546495854854584,0.6546919345855713,0.42137330770492554
3,0.8683809638023376,1.3749690055847168,1.3064439296722412,0.06852512061595917,0.6492976546287537,0.2931671142578125
4,1.26336669921875,1.302437663078308,1.2386598587036133,0.063777856528759,0.5929484367370605,0.4146600365638733
5,1.259695291519165,0.8547153472900391,0.7864710688591003,0.06824430078268051,0.5742632150650024,0.48477405309677124
6,1.008286714553833,1.148760437965393,1.0808873176574707,0.06787313520908356,0.6129146814346313,0.36485588550567627
7,1.0675503015518188,1.187399983406067,1.1197996139526367,0.06760040670633316,0.638137936592102,0.41862305998802185
8,0.9554446339607239,1.2853437662124634,1.218641996383667,0.06670176982879639,0.7417877316474915,0.4510725736618042
9,0.9990713596343994,1.3154075145721436,1.2503494024276733,0.06505807489156723,0.6735018491744995,0.40707236528396606
10,1.1627004146575928,1.4691123962402344,1.4026951789855957,0.06641724705696106,0.47352099418640137,0.27934712171554565
11,1.119986653327942,1.1005877256393433,1.0320593118667603,0.06852841377258301,0.5868065357208252,0.398997962474823
12,1.1300427913665771,1.405305027961731,1.342816948890686,0.06248805671930313,0.774182915687561,0.5614059567451477
13,0.8906888961791992,1.6775072813034058,1.6094083786010742,0.06809891760349274,0.6971055269241333,0.3587251305580139
14,0.8329058885574341,1.3844540119171143,1.3166999816894531,0.06775408238172531,0.7361307144165039,0.37720245122909546
15,1.3807849884033203,1.825845718383789,1.7576788663864136,0.0681668370962143,0.5765445828437805,0.4294019937515259
16,0.9246230125427246,1.403620719909668,1.3346161842346191,0.06900452822446823,0.6610243320465088,0.3311043977737427
17,1.3774895668029785,1.8025025129318237,1.7377920150756836,0.06471049040555954,0.7086787819862366,0.5482858419418335
18,1.035954236984253,1.6681684255599976,1.605149745941162,0.06301870942115784,0.6948816776275635,0.3584290146827698
19,0.8358633518218994,1.6130902767181396,1.5453932285308838,0.06769709289073944,0.7992767691612244,0.3950843811035156
20,0.8567993640899658,1.3315447568893433,1.2677662372589111,0.06377855688333511,0.709019660949707,0.3513430953025818
21,1.0266422033309937,1.7467472553253174,1.6794341802597046,0.06731303781270981,0.661445140838623,0.34639886021614075
22,0.7202466130256653,2.2938735485076904,2.227015256881714,0.06685837358236313,0.8769591450691223,0.38448989391326904
23,0.9974884986877441,2.0741066932678223,2.0087451934814453,0.06536155194044113,0.5348723530769348,0.18936941027641296
24,0.6458338499069214,1.9986251592636108,1.9305073022842407,0.06811782717704773,0.785141110420227,0.27986884117126465
25,0.725521981716156,1.7906231880187988,1.7188775539398193,0.07174566388130188,0.8174020051956177,0.3185880482196808
26,0.6328182220458984,1.9923433065414429,1.930746078491211,0.061597276479005814,0.8050693273544312,0.28426676988601685
27,0.6843856573104858,2.0679662227630615,1.9959665536880493,0.07199957221746445,0.7871816158294678,0.2684578001499176
28,0.4993344247341156,2.435654401779175,2.3721141815185547,0.06354019790887833,0.8278940320014954,0.2000274956226349
29,0.4668956398963928,2.610291004180908,2.5444109439849854,0.06588014215230942,0.9135290384292603,0.22892135381698608
30,0.591494083404541,2.263223648071289,2.198880195617676,0.06434333324432373,0.8181036710739136,0.24481457471847534
31,1.176583170890808,2.648383617401123,2.585545539855957,0.06283804774284363,0.5159597396850586,0.06042264401912689
32,0.7777674198150635,2.4388821125030518,2.373544454574585,0.0653376579284668,0.6229103803634644,0.09997686743736267
33,0.3777787685394287,2.270390748977661,2.2009220123291016,0.06946863979101181,0.8662186861038208,0.13096299767494202
34,1.0027861595153809,2.7428722381591797,2.678680658340454,0.06419146806001663,0.7937138080596924,0.3975803554058075
35,1.024000883102417,2.424232006072998,2.3573222160339355,0.06690972298383713,0.4952915608882904,0.07194870710372925
36,1.0405054092407227,2.779832363128662,2.7158432006835938,0.06398908793926239,0.8355790376663208,0.4380576014518738
37,0.854245126247406,2.835646390914917,2.7680182456970215,0.06762820482254028,0.7955228090286255,0.3697592616081238
38,0.5774214863777161,3.173813581466675,3.102354049682617,0.07145948708057404,0.8869487643241882,0.3115188479423523
39,0.6376821994781494,1.894298791885376,1.8331869840621948,0.06111174821853638,0.7641175985336304,0.1965838372707367
40,0.9060219526290894,2.4255785942077637,2.3631913661956787,0.062387317419052124,0.7953287959098816,0.3995133638381958
41,0.4397023320198059,2.224754810333252,2.154705047607422,0.07004982978105545,0.8885425329208374,0.2368730753660202
42,0.7270845174789429,1.7236710786819458,1.6613837480545044,0.06228728964924812,0.8039921522140503,0.31710413098335266
43,0.47185006737709045,1.6886377334594727,1.6215806007385254,0.06705715507268906,0.8273355960845947,0.15720200538635254
44,1.1884318590164185,2.7807130813598633,2.7128849029541016,0.06782814115285873,0.9105270504951477,0.5739388465881348
45,0.630020260810852,1.7842223644256592,1.7206482887268066,0.06357404589653015,0.7543424367904663,0.20157185196876526
46,0.6486619114875793,2.390584707260132,2.325838088989258,0.06474672257900238,0.7015446424484253,0.11826890707015991
47,0.651375412940979,2.3288702964782715,2.2608675956726074,0.06800279766321182,0.8839770555496216,0.3474636673927307
48,0.5885732173919678,2.2816364765167236,2.215162992477417,0.06647349148988724,0.8608297109603882,0.30883002281188965
49,0.8039897680282593,2.462815284729004,2.396909713745117,0.06590568274259567,0.8112499713897705,0.36735761165618896
50,0.9331300854682922,2.0929386615753174,2.027919292449951,0.06501945853233337,0.5706026554107666,0.15316027402877808
51,0.5085952281951904,1.5497448444366455,1.482816219329834,0.06692861765623093,0.7817426919937134,0.1665416955947876
52,0.7309560775756836,2.35056209564209,2.2827038764953613,0.06785822659730911,0.7890112400054932,0.29663723707199097
53,0.6532057523727417,2.1881370544433594,2.1209802627563477,0.06715690344572067,0.823055624961853,0.2853456437587738
54,0.6555940508842468,1.7025933265686035,1.638880968093872,0.06371241062879562,0.7230364084243774,0.1832353174686432
55,0.6326366662979126,2.12661075592041,2.060973644256592,0.0656370148062706,0.8070122003555298,0.2686043977737427
56,0.6491810083389282,1.6253174543380737,1.5600402355194092,0.06527721881866455,0.7256909608840942,0.18513691425323486
57,0.943211555480957,1.9303333759307861,1.8662127256393433,0.06412060558795929,0.5826184749603271,0.18182700872421265
58,0.8031678795814514,2.1637508869171143,2.097475528717041,0.06627537310123444,0.739163339138031,0.30874913930892944
59,0.8055148124694824,1.6317906379699707,1.5650372505187988,0.06675343960523605,0.5880146026611328,0.11078689992427826
60,0.662852942943573,1.7456297874450684,1.679787516593933,0.06584229320287704,0.7326983213424683,0.22162774205207825
61,0.8454259037971497,2.199934959411621,2.132706642150879,0.06722833216190338,0.9062036275863647,0.45089566707611084
