operator,calls,total_ms,mean_ms,p95_ms
ConvTranspose,600,517.872,0.86312,1.4923999999999997
BatchNormalization,480,15.55,0.03239583333333334,0.051049999999999957
Relu,480,8.049,0.016768750000000002,0.034
Tanh,120,2.103,0.017525,0.02805
