batch,max_abs_difference,mean_abs_difference
1,2.9802322387695312e-06,8.853783839413154e-08
4,2.473592758178711e-06,1.0110839099297664e-07
8,2.0563602447509766e-06,9.824622537735195e-08
16,3.069639205932617e-06,9.674364065404006e-08
