graph,provider,batch,warmup,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,throughput_images_per_s
raw,CPUExecutionProvider,1,20,100,3.308317829998657,3.2548835000056897,3.8311763000038463,2.9240780000066025,4.76472599999056,302.2684189929859
manual_bn_fused,CPUExecutionProvider,1,20,100,3.624000129999274,3.5721114999915926,4.1317732500047555,3.126302999987729,5.212614000015492,275.93817994708525
raw,CPUExecutionProvider,4,20,100,14.764407059999769,13.576954000001251,22.398618199994758,12.316655999995874,26.187658999987207,270.9218178383157
manual_bn_fused,CPUExecutionProvider,4,20,100,13.826759559999289,13.556522000001792,14.994673049996265,12.373980999996093,21.774854000000232,289.2941026885265
raw,CPUExecutionProvider,8,20,100,27.26965704999941,26.957649500005232,30.530703299996272,24.40099000000373,33.40181299998335,293.36635900231
manual_bn_fused,CPUExecutionProvider,8,20,100,26.657542259999335,26.47658900001204,28.540172300002098,23.984175999999024,30.671228999977984,300.102684710147
raw,CPUExecutionProvider,16,20,100,53.46317065999898,53.36724299999673,57.1197666499927,49.60173399999235,58.63953799999422,299.2714386835116
manual_bn_fused,CPUExecutionProvider,16,20,100,52.14535350999852,50.96429099999966,58.60187344999446,48.15633100000127,85.77518299998133,306.8346251968952
