Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,9816,0,230,198.871818551652,10.590487999706966,424.83152300019356,9436.499388753056,337.8956967739931,0.0,230,230,230,230,240,280,340,350,370,420,420
,Aggregated,9816,0,230,198.871818551652,10.590487999706966,424.83152300019356,9436.499388753056,337.8956967739931,0.0,230,230,230,230,240,280,340,350,370,420,420
