Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,7234,0,4,3.933618191042179,3.353240999786067,20.009744000162755,9435.168371578657,249.2145463367786,0.0,4,4,4,4,4,4,5,5,7,20,20
,Aggregated,7234,0,4,3.933618191042179,3.353240999786067,20.009744000162755,9435.168371578657,249.2145463367786,0.0,4,4,4,4,4,4,5,5,7,20,20
