Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,9887,0,46,46.04883429048391,10.565090000000055,155.7430299999396,9436.961970263983,340.48343532010506,0.0,46,47,48,48,50,51,54,56,150,160,160
,Aggregated,9887,0,46,46.04883429048391,10.565090000000055,155.7430299999396,9436.961970263983,340.48343532010506,0.0,46,47,48,48,50,51,54,56,150,160,160
