Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,9792,0,23,23.6207462436697,10.374383999987913,47.14138400004231,9435.529309640522,337.24093395283995,0.0,23,24,24,25,26,27,29,30,38,47,47
,Aggregated,9792,0,23,23.6207462436697,10.374383999987913,47.14138400004231,9435.529309640522,337.24093395283995,0.0,23,24,24,25,26,27,29,30,38,47,47
