Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /generate,9736,0,350,280.7049412933476,10.520266000185075,669.062047999887,9437.459326211996,335.10406155055665,0.0,350,360,370,370,380,470,480,490,580,670,670
,Aggregated,9736,0,350,280.7049412933476,10.520266000185075,669.062047999887,9437.459326211996,335.10406155055665,0.0,350,360,370,370,380,470,480,490,580,670,670
