comparison,count,mae_01,rmse_01,max_abs_01
FP16_vs_FP32,1000,0.0003577582829166204,0.0005660238093696535,0.019611358642578125
INT8_vs_FP32,1000,0.012811563909053802,0.02627856656908989,0.9460099935531616
